,rn,iteration
330,"('R08572', 'reverse')",1
331,"('R10525', 'reverse')",1
332,"('R00891', 'reverse')",1
333,"('R01394', 'forward')",1
334,"('R02429', 'reverse')",1
335,"('R04620', 'forward')",1
336,"('R05048', 'reverse')",1
337,"('R03802', 'forward')",1
338,"('R09084', 'reverse')",1
339,"('R01518', 'reverse')",1
340,"('R03928', 'forward')",1
341,"('R01227', 'forward')",1
342,"('R01557', 'reverse')",1
343,"('R04277', 'forward')",1
344,"('R02185', 'forward')",1
345,"('R03277', 'forward')",1
346,"('R10784', 'reverse')",1
347,"('R01395', 'forward')",1
348,"('R01829', 'reverse')",1
349,"('R00488', 'forward')",1
350,"('R01511', 'reverse')",1
351,"('R01920', 'reverse')",1
352,"('R01905', 'forward')",1
353,"('R00504', 'reverse')",1
354,"('R00458', 'forward')",1
355,"('R01785', 'reverse')",1
356,"('R07282', 'reverse')",1
357,"('R10829', 'reverse')",1
358,"('R01662', 'reverse')",1
359,"('R05518', 'forward')",1
360,"('R01830', 'reverse')",1
361,"('R00726', 'forward')",1
362,"('R02426', 'forward')",1
363,"('R02428', 'reverse')",1
364,"('R04343', 'reverse')",1
365,"('R00478', 'reverse')",1
366,"('R00999', 'reverse')",1
367,"('R07479', 'reverse')",1
368,"('R01548', 'reverse')",1
369,"('R00177', 'forward')",1
370,"('R04346', 'reverse')",1
371,"('R03459', 'forward')",1
372,"('R00822', 'reverse')",1
373,"('R00268', 'reverse')",1
374,"('R02649', 'forward')",1
375,"('R02142', 'forward')",1
376,"('R08603', 'forward')",1
377,"('R03240', 'forward')",1
378,"('R09666', 'forward')",1
379,"('R08632', 'forward')",1
380,"('R02148', 'forward')",1
381,"('R01290', 'reverse')",1
382,"('R00954', 'reverse')",1
383,"('R03003', 'forward')",1
384,"('R10342', 'forward')",1
385,"('R01818', 'forward')",1
386,"('R09952', 'forward')",1
387,"('R00375', 'forward')",1
388,"('R01602', 'forward')",1
389,"('R07316', 'forward')",1
390,"('R00957', 'forward')",1
391,"('R01867', 'reverse')",1
392,"('R02568', 'reverse')",1
393,"('R02833', 'forward')",1
394,"('R02073', 'forward')",1
395,"('R02737', 'forward')",1
396,"('R02889', 'forward')",1
397,"('R00661', 'reverse')",1
398,"('R02707', 'forward')",1
399,"('R01473', 'reverse')",1
400,"('R05644', 'reverse')",1
401,"('R09394', 'forward')",1
402,"('R09959', 'reverse')",1
403,"('R01015', 'forward')",1
404,"('R10555', 'reverse')",1
405,"('R01447', 'forward')",1
406,"('R00805', 'reverse')",1
407,"('R02778', 'reverse')",1
408,"('R03271', 'forward')",1
409,"('R07480', 'reverse')",1
410,"('R01967', 'forward')",1
411,"('R01326', 'forward')",1
412,"('R02752', 'reverse')",1
413,"('R08196', 'forward')",1
414,"('R09769', 'forward')",1
415,"('R00325', 'reverse')",1
416,"('R02329', 'reverse')",1
417,"('R02526', 'reverse')",1
418,"('R00897', 'forward')",1
419,"('R01810', 'forward')",1
420,"('R09531', 'forward')",1
421,"('R00183', 'reverse')",1
422,"('R00953', 'forward')",1
423,"('R10338', 'reverse')",1
