,cid,iteration
139,C03172,1
140,C00204,1
141,C16352,1
142,C00673,1
143,C19838,1
144,C19880,1
145,C00330,1
146,C01801,1
147,C20239,1
148,C01186,1
149,C06555,1
150,C11437,1
151,C07281,1
152,C00437,1
153,C00015,1
154,C00052,1
155,C02067,1
156,C06372,1
157,C00705,1
158,C01043,1
159,C00446,1
160,C01990,1
161,C03030,1
162,C00898,1
163,C04188,1
164,C00764,1
165,C01101,1
166,C03826,1
167,C00279,1
168,C05364,1
169,C19669,1
170,C00675,1
171,C19781,1
172,C00372,1
173,C05524,1
174,C00409,1
175,C00577,1
176,C00179,1
177,C17209,1
178,C20560,1
179,C01103,1
180,C01042,1
181,C20236,1
182,C00230,1
183,C00020,1
184,C00575,1
185,C01417,1
186,C00167,1
187,C01210,1
188,C06023,1
189,C02492,1
190,C06218,1
191,C06222,1
192,C01096,1
193,C05382,1
194,C06006,1
195,C06892,1
196,C19929,1
197,C00256,1
198,C05324,1
199,C00155,1
200,C05946,1
201,C04287,1
202,C00002,1
203,C00620,1
204,C01502,1
205,C18172,1
206,C20251,1
207,C03737,1
208,C03223,1
209,C00309,1
210,C01518,1
211,C02637,1
212,C00719,1
213,C00570,1
214,C00701,1
215,C04225,1
216,C00177,1
217,C02739,1
218,C06030,1
219,C06398,1
220,C00275,1
221,C01300,1
222,C00652,1
223,C00965,1
224,C01231,1
225,C03354,1
226,C00734,1
227,C02354,1
228,C00089,1
229,C03708,1
230,C02291,1
231,C03733,1
232,C00191,1
233,C20888,1
234,C00222,1
235,C03989,1
236,C03283,1
237,C06441,1
238,C00250,1
239,C02726,1
240,C00299,1
241,C00315,1
242,C20440,1
243,C01825,1
244,C00636,1
245,C00216,1
246,C07836,1
247,C00190,1
248,C06397,1
249,C03145,1
250,C00131,1
251,C04282,1
252,C00429,1
253,C01146,1
254,C00008,1
255,C00043,1
256,C03267,1
257,C00689,1
258,C05385,1
259,C04593,1
260,C05796,1
261,C01219,1
262,C03848,1
263,C00900,1
264,C15854,1
265,C02565,1
266,C04847,1
267,C15556,1
268,C20887,1
269,C01286,1
270,C01159,1
271,C00508,1
272,C03671,1
273,C05378,1
274,C00514,1
275,C00236,1
276,C00617,1
277,C00737,1
278,C02946,1
279,C02723,1
280,C04324,1
281,C00611,1
282,C00791,1
283,C04534,1
284,C00169,1
285,C02787,1
286,C15548,1
287,C01672,1
288,C19878,1
289,C04121,1
290,C00185,1
291,C20245,1
292,C00117,1
293,C00935,1
294,C06400,1
295,C00476,1
296,C05396,1
297,C01113,1
298,C01097,1
299,C00019,1
300,C11515,1
301,C06893,1
302,C14899,1
303,C00394,1
304,C00134,1
305,C00055,1
306,C00243,1
307,C05822,1
308,C01215,1
309,C00288,1
310,C00039,1
311,C00360,1
312,C15532,1
313,C00498,1
314,C00878,1
315,C00688,1
316,C00119,1
317,C01127,1
318,C00352,1
319,C02132,1
320,C00054,1
321,C19813,1
322,C03394,1
323,C00404,1
324,C01346,1
325,C15541,1
326,C02362,1
327,C11552,1
328,C16688,1
329,C00645,1
330,C00380,1
331,C02514,1
332,C03406,1
333,C04478,1
334,C00492,1
335,C01142,1
336,C01182,1
337,C02591,1
338,C02926,1
339,C01674,1
340,C04115,1
341,C00124,1
342,C04631,1
343,C00941,1
344,C02013,1
345,C00096,1
346,C06019,1
347,C00369,1
348,C00460,1
349,C06216,1
350,C00130,1
351,C00436,1
352,C18239,1
353,C00760,1
354,C02405,1
355,C01234,1
356,C01151,1
357,C03090,1
358,C05925,1
359,C03167,1
360,C03375,1
361,C00259,1
362,C02306,1
363,C14830,1
364,C02269,1
365,C01083,1
366,C00676,1
367,C00387,1
368,C04219,1
369,C04181,1
370,C20277,1
371,C00170,1
372,C00804,1
373,C00679,1
374,C00721,1
375,C00231,1
376,C01132,1
377,C02837,1
378,C00691,1
379,C04122,1
380,C01026,1
381,C00266,1
382,C01112,1
383,C05601,1
384,C01236,1
385,C00013,1
386,C11930,1
387,C01010,1
388,C00559,1
389,C03872,1
390,C00105,1
391,C04613,1
392,C00810,1
393,C00312,1
394,C05829,1
395,C01326,1
396,C00461,1
397,C00144,1
398,C00310,1
