rxn	iter
('R06353', 'forward')	1
('R03489', 'reverse')	1
('R03198', 'forward')	1
('R00272', 'forward')	1
('R00234', 'forward')	1
('R10665', 'reverse')	1
('R10136', 'reverse')	1
('R08434', 'reverse')	1
('R01393', 'forward')	1
('R08806', 'reverse')	1
('R08811', 'forward')	1
('R02422', 'reverse')	1
('R00805', 'forward')	1
('R00636', 'forward')	1
('R05080', 'reverse')	1
('R00777', 'forward')	1
('R01518', 'forward')	1
('R01844', 'reverse')	1
('R00024', 'reverse')	1
('R00855', 'forward')	1
('R08880', 'forward')	1
('R01361', 'forward')	1
('R00223', 'forward')	1
('R06745', 'reverse')	1
('R01293', 'forward')	1
('R00264', 'forward')	1
('R07992', 'reverse')	1
('R03468', 'forward')	1
('R04860', 'forward')	1
('R02282', 'forward')	1
('R08470', 'forward')	1
('R08394', 'reverse')	1
('R10681', 'forward')	1
('R02136', 'reverse')	1
('R07693', 'forward')	1
('R02042', 'reverse')	1
('R02748', 'forward')	1
('R02344', 'forward')	1
('R05465', 'reverse')	1
('R01799', 'reverse')	1
('R06875', 'reverse')	1
('R03457', 'reverse')	1
('R08694', 'reverse')	1
('R00175', 'forward')	1
('R02460', 'forward')	1
('R08616', 'reverse')	1
('R00982', 'reverse')	1
('R06575', 'forward')	1
('R03367', 'forward')	1
('R08027', 'forward')	1
('R00241', 'reverse')	1
('R03415', 'reverse')	1
('R09186', 'forward')	1
('R08569', 'reverse')	1
('R06443', 'reverse')	1
('R08855', 'reverse')	1
('R07165', 'forward')	1
('R09610', 'forward')	1
('R09072', 'forward')	1
('R08483', 'forward')	1
('R01415', 'reverse')	1
('R00894', 'reverse')	1
('R02566', 'reverse')	1
('R01156', 'forward')	1
('R00479', 'forward')	1
('R01582', 'forward')	1
('R01790', 'forward')	1
('R07168', 'forward')	1
('R02361', 'reverse')	1
('R02679', 'reverse')	1
('R08711', 'reverse')	1
('R08196', 'forward')	1
('R09663', 'reverse')	1
('R03417', 'forward')	1
('R09531', 'reverse')	1
('R09820', 'reverse')	1
('R01409', 'forward')	1
('R09157', 'forward')	1
('R00695', 'forward')	1
('R05599', 'forward')	1
('R03838', 'reverse')	1
('R03103', 'forward')	1
('R01262', 'reverse')	1
('R09034', 'reverse')	1
('R08043', 'forward')	1
('R09292', 'forward')	1
('R00618', 'reverse')	1
('R01647', 'reverse')	1
('R08476', 'forward')	1
('R08857', 'reverse')	1
('R08629', 'reverse')	1
('R01542', 'forward')	1
('R08749', 'forward')	1
('R01480', 'reverse')	1
('R07381', 'reverse')	1
('R00414', 'reverse')	1
('R08622', 'reverse')	1
('R02551', 'forward')	1
('R01736', 'reverse')	1
('R03893', 'reverse')	1
('R09966', 'reverse')	1
('R00942', 'reverse')	1
('R00325', 'forward')	1
('R07341', 'forward')	1
('R00367', 'reverse')	1
('R05077', 'reverse')	1
('R00203', 'reverse')	1
('R09793', 'reverse')	1
('R07059', 'forward')	1
('R04377', 'forward')	1
('R02745', 'reverse')	1
('R10005', 'reverse')	1
('R01655', 'reverse')	1
('R05394', 'forward')	1
('R02755', 'forward')	1
('R08800', 'forward')	1
('R02260', 'reverse')	1
('R00510', 'reverse')	1
('R02437', 'reverse')	1
('R02637', 'forward')	1
('R02991', 'forward')	1
('R01896', 'reverse')	1
('R00506', 'reverse')	1
('R08641', 'forward')	1
('R01750', 'forward')	1
('R09280', 'reverse')	1
('R07147', 'reverse')	1
('R03188', 'forward')	1
('R05662', 'reverse')	1
('R04224', 'forward')	1
('R07328', 'reverse')	1
('R08597', 'forward')	1
('R10629', 'forward')	1
('R04513', 'reverse')	1
('R01044', 'forward')	1
('R10832', 'forward')	1
('R10427', 'forward')	1
('R00391', 'forward')	1
('R10526', 'forward')	1
('R01444', 'forward')	1
('R02713', 'reverse')	1
('R09286', 'reverse')	1
('R08792', 'forward')	1
('R08362', 'forward')	1
('R09888', 'forward')	1
('R00131', 'reverse')	1
('R00870', 'forward')	1
('R09666', 'forward')	1
('R02603', 'reverse')	1
('R03790', 'forward')	1
('R06732', 'forward')	1
('R03378', 'forward')	1
('R08439', 'forward')	1
('R07307', 'forward')	1
('R00265', 'forward')	1
('R04269', 'reverse')	1
('R09115', 'reverse')	1
('R00049', 'forward')	1
('R09655', 'forward')	1
('R08540', 'forward')	1
('R05382', 'forward')	1
('R10397', 'forward')	1
('R01467', 'forward')	1
('R10712', 'forward')	1
('R06590', 'reverse')	1
('R01103', 'reverse')	1
('R02705', 'forward')	1
('R09109', 'forward')	1
('R06564', 'forward')	1
('R03604', 'forward')	1
('R01903', 'reverse')	1
('R10538', 'reverse')	1
('R09527', 'reverse')	1
('R01761', 'reverse')	1
('R01473', 'reverse')	1
('R00926', 'forward')	1
('R07650', 'forward')	1
('R01215', 'forward')	1
('R01945', 'reverse')	1
('R01421', 'reverse')	1
('R04639', 'forward')	1
('R09835', 'forward')	1
('R02889', 'forward')	1
('R04184', 'forward')	1
('R05118', 'forward')	1
('R00187', 'reverse')	1
('R02720', 'forward')	1
('R00123', 'forward')	1
('R10442', 'forward')	1
('R01684', 'forward')	1
('R05129', 'forward')	1
('R01092', 'forward')	1
('R03391', 'forward')	1
('R01611', 'reverse')	1
('R03897', 'reverse')	1
('R03553', 'forward')	1
('R02735', 'forward')	1
('R04143', 'reverse')	1
('R00493', 'reverse')	1
('R05799', 'reverse')	1
('R01718', 'forward')	1
('R01572', 'reverse')	1
('R06570', 'forward')	1
('R01967', 'forward')	1
('R09715', 'forward')	1
('R10451', 'forward')	1
('R03315', 'reverse')	1
('R01689', 'forward')	1
('R07985', 'forward')	1
('R08704', 'forward')	1
('R01604', 'forward')	1
('R02732', 'reverse')	1
('R01766', 'reverse')	1
('R01749', 'forward')	1
('R10426', 'forward')	1
('R04249', 'forward')	1
('R08752', 'forward')	1
('R01607', 'forward')	1
('R09882', 'forward')	1
('R03688', 'forward')	1
('R04362', 'forward')	1
('R05668', 'reverse')	1
('R09195', 'forward')	1
('R10050', 'reverse')	1
('R07104', 'reverse')	1
('R04781', 'reverse')	1
('R08754', 'forward')	1
('R04529', 'reverse')	1
('R10174', 'forward')	1
('R02087', 'forward')	1
('R01214', 'forward')	1
('R07632', 'reverse')	1
('R01931', 'reverse')	1
('R00516', 'forward')	1
('R09769', 'forward')	1
('R04541', 'forward')	1
('R10573', 'reverse')	1
('R08644', 'reverse')	1
('R02095', 'reverse')	1
('R07918', 'forward')	1
('R01398', 'reverse')	1
('R05509', 'forward')	1
('R01064', 'forward')	1
('R02168', 'reverse')	1
('R06821', 'forward')	1
('R01720', 'reverse')	1
('R04937', 'forward')	1
('R06554', 'reverse')	1
('R01093', 'reverse')	1
('R10177', 'reverse')	1
('R04296', 'forward')	1
('R02592', 'reverse')	1
('R01289', 'reverse')	1
('R06594', 'forward')	1
('R00527', 'forward')	1
('R01445', 'forward')	1
('R07293', 'forward')	1
('R03968', 'forward')	1
('R10500', 'forward')	1
('R03942', 'forward')	1
('R01614', 'forward')	1
('R09965', 'reverse')	1
('R06762', 'reverse')	1
('R09887', 'forward')	1
('R04493', 'reverse')	1
('R02009', 'reverse')	1
('R07314', 'reverse')	1
('R01011', 'forward')	1
('R01211', 'reverse')	1
('R02786', 'forward')	1
('R03034', 'reverse')	1
('R04993', 'reverse')	1
('R08012', 'forward')	1
('R02776', 'reverse')	1
('R00093', 'reverse')	1
('R07407', 'forward')	1
('R08411', 'reverse')	1
('R08894', 'reverse')	1
('R01714', 'forward')	1
('R05790', 'forward')	1
('R07838', 'reverse')	1
('R01777', 'reverse')	1
('R01158', 'reverse')	1
('R01190', 'reverse')	1
('R01343', 'reverse')	1
('R04875', 'forward')	1
('R03082', 'reverse')	1
('R08097', 'forward')	1
('R02718', 'reverse')	1
('R02568', 'forward')	1
('R09097', 'reverse')	1
('R00118', 'forward')	1
('R01425', 'reverse')	1
('R10093', 'reverse')	1
('R07140', 'reverse')	1
('R09467', 'forward')	1
('R04363', 'reverse')	1
('R02388', 'forward')	1
('R01798', 'forward')	1
('R00834', 'reverse')	1
('R06772', 'forward')	1
('R02256', 'reverse')	1
('R01882', 'reverse')	1
('R09628', 'reverse')	1
('R06578', 'reverse')	1
('R03393', 'reverse')	1
('R04734', 'reverse')	1
('R02590', 'forward')	1
('R08152', 'forward')	1
('R09142', 'reverse')	1
('R05168', 'forward')	1
('R01775', 'forward')	1
('R00908', 'reverse')	1
('R01858', 'reverse')	1
('R01424', 'forward')	1
('R00149', 'forward')	1
('R00775', 'reverse')	1
('R08430', 'reverse')	1
('R01433', 'reverse')	1
('R05629', 'reverse')	1
('R10786', 'forward')	1
('R09665', 'forward')	1
('R09230', 'forward')	1
('R00146', 'forward')	1
('R03194', 'reverse')	1
('R00087', 'forward')	1
('R02752', 'reverse')	1
('R02576', 'forward')	1
('R01221', 'reverse')	1
('R10433', 'forward')	1
('R08946', 'forward')	1
('R02594', 'reverse')	1
('R02447', 'reverse')	1
('R01120', 'reverse')	1
('R02763', 'reverse')	1
('R01085', 'reverse')	1
('R08512', 'forward')	1
('R03331', 'forward')	1
('R08047', 'forward')	1
('R05286', 'forward')	1
('R03259', 'forward')	1
('R00462', 'forward')	1
('R08753', 'forward')	1
('R03095', 'reverse')	1
('R06429', 'reverse')	1
('R08398', 'forward')	1
('R07417', 'forward')	1
('R05714', 'forward')	1
('R08149', 'reverse')	1
('R10554', 'reverse')	1
('R08691', 'reverse')	1
('R00130', 'forward')	1
('R09720', 'reverse')	1
('R00734', 'forward')	1
('R00692', 'forward')	1
('R04252', 'reverse')	1
('R02103', 'reverse')	1
('R08680', 'reverse')	1
('R01570', 'reverse')	1
('R08683', 'reverse')	1
('R05804', 'forward')	1
('R01155', 'forward')	1
('R00625', 'reverse')	1
('R03360', 'forward')	1
('R02273', 'reverse')	1
('R02082', 'reverse')	1
('R02512', 'reverse')	1
('R08040', 'reverse')	1
('R00398', 'reverse')	1
('R07238', 'forward')	1
('R04504', 'reverse')	1
('R03347', 'forward')	1
('R05562', 'forward')	1
('R04203', 'forward')	1
('R01365', 'forward')	1
('R03286', 'forward')	1
('R00705', 'reverse')	1
('R01185', 'forward')	1
('R05145', 'forward')	1
('R00531', 'forward')	1
('R01075', 'reverse')	1
('R01171', 'reverse')	1
('R05390', 'reverse')	1
('R02280', 'forward')	1
('R10248', 'forward')	1
('R08631', 'forward')	1
('R02331', 'forward')	1
('R00699', 'reverse')	1
