rxn	iter
('R02096', 'reverse')	1
('R00221', 'forward')	1
('R00809', 'reverse')	1
('R00970', 'reverse')	1
('R05805', 'reverse')	1
('R01649', 'reverse')	1
('R01980', 'forward')	1
('R03237', 'reverse')	1
('R10688', 'forward')	1
('R00348', 'forward')	1
('R07343', 'reverse')	1
('R01526', 'reverse')	1
('R03236', 'forward')	1
('R01561', 'reverse')	1
('R03409', 'forward')	1
('R01152', 'reverse')	1
('R01473', 'forward')	1
('R06531', 'forward')	1
('R01049', 'reverse')	1
('R01761', 'forward')	1
('R03635', 'forward')	1
('R05647', 'reverse')	1
('R01562', 'forward')	1
('R04858', 'forward')	1
('R01881', 'forward')	1
('R02073', 'reverse')	1
('R01054', 'forward')	1
('R03429', 'forward')	1
('R00572', 'reverse')	1
('R07285', 'reverse')	1
('R08676', 'reverse')	1
('R00951', 'reverse')	1
('R02142', 'reverse')	1
('R00424', 'reverse')	1
('R04346', 'reverse')	1
('R00962', 'reverse')	1
('R01168', 'reverse')	1
('R02526', 'forward')	1
('R01068', 'forward')	1
('R05800', 'forward')	1
('R00866', 'reverse')	1
('R07456', 'forward')	1
('R00429', 'forward')	1
('R03868', 'reverse')	1
('R07396', 'forward')	1
('R00018', 'forward')	1
('R02102', 'forward')	1
('R01991', 'forward')	1
('R02285', 'reverse')	1
('R00963', 'reverse')	1
('R00256', 'forward')	1
('R09483', 'forward')	1
('R02739', 'forward')	1
('R10178', 'forward')	1
('R00153', 'reverse')	1
('R01569', 'forward')	1
('R02846', 'forward')	1
('R00720', 'reverse')	1
('R06979', 'forward')	1
('R00723', 'reverse')	1
('R05069', 'reverse')	1
('R02185', 'reverse')	1
('R01567', 'forward')	1
('R03127', 'reverse')	1
('R03244', 'reverse')	1
('R01137', 'forward')	1
('R00776', 'reverse')	1
('R01126', 'reverse')	1
('R00193', 'forward')	1
('R00443', 'reverse')	1
('R03001', 'forward')	1
('R08359', 'reverse')	1
('R01150', 'forward')	1
('R07917', 'reverse')	1
('R02095', 'forward')	1
('R02321', 'forward')	1
('R03371', 'reverse')	1
('R01138', 'reverse')	1
('R00760', 'forward')	1
('R03422', 'forward')	1
('R00190', 'forward')	1
('R07584', 'forward')	1
('R10691', 'forward')	1
('R01267', 'forward')	1
('R00127', 'reverse')	1
('R01845', 'forward')	1
('R04529', 'forward')	1
('R02563', 'reverse')	1
('R04781', 'forward')	1
('R02778', 'forward')	1
('R00334', 'reverse')	1
('R00953', 'forward')	1
('R02143', 'forward')	1
('R03478', 'forward')	1
('R02168', 'forward')	1
('R10348', 'forward')	1
('R05763', 'reverse')	1
('R00135', 'forward')	1
('R07476', 'forward')	1
('R05142', 'forward')	1
('R00253', 'forward')	1
('R01206', 'forward')	1
('R09086', 'reverse')	1
('R03925', 'reverse')	1
('R00397', 'reverse')	1
('R00012', 'reverse')	1
('R00763', 'forward')	1
('R00177', 'reverse')	1
('R07342', 'reverse')	1
('R00719', 'forward')	1
('R00999', 'forward')	1
('R01826', 'forward')	1
('R06428', 'forward')	1
('R00187', 'forward')	1
('R00485', 'reverse')	1
('R01139', 'reverse')	1
('R03537', 'forward')	1
('R00183', 'reverse')	1
('R02984', 'reverse')	1
('R08056', 'reverse')	1
('R00505', 'forward')	1
('R00665', 'forward')	1
('R01858', 'forward')	1
('R00424', 'forward')	1
('R00908', 'forward')	1
('R09771', 'forward')	1
('R00963', 'forward')	1
('R03393', 'forward')	1
('R01411', 'reverse')	1
