ECNumber	PfamDomain	ConfidenceScore	Type	InInterPro
5.3.1.25	PF07882	0.9797882778	GOLD	Yes
4.4.1.22	PF04828	0.9796521667	GOLD	Yes
3.4.21.92	PF00574	0.9795859444	GOLD	Yes
1.1.1.267	PF13288	0.9795106111	GOLD	Yes
6.3.1.2	PF00120	0.978668	GOLD	Yes
2.5.1.3	PF02581	0.978556	GOLD	Yes
5.3.1.25	PF07881	0.9780870556	GOLD	Yes
1.12.98.2	PF03201	0.9779457222	GOLD	Yes
1.1.1.169	PF02558	0.9778428889	GOLD	Yes
1.1.1.267	PF08436	0.9773204444	GOLD	Yes
2.4.2.19	PF01729	0.9772233889	GOLD	No
1.1.1.169	PF08546	0.9772192222	GOLD	Yes
6.1.1.19	PF03485	0.9771792222	GOLD	Yes
2.3.1.30	PF06426	0.9768498333	GOLD	Yes
3.2.2.4	PF10423	0.9768451111	GOLD	No
2.5.1.78	PF00885	0.9768203333	GOLD	Yes
2.1.1.33	PF02390	0.9766191111	GOLD	Yes
2.3.1.117	PF14805	0.9764288889	GOLD	Yes
3.4.21.88	PF01726	0.9759723333	GOLD	Yes
6.3.4.13	PF02843	0.9758780556	GOLD	Yes
1.8.4.11	PF01625	0.9758716667	GOLD	Yes
6.1.1.11	PF02403	0.9756253333	GOLD	Yes
2.4.99.16	PF11896	0.9755617778	GOLD	Yes
1.17.1.8	PF01113	0.9753312778	GOLD	Yes
4.4.1.4	PF04863	0.9752611111	GOLD	No
4.6.1.16	PF01974	0.9751396667	GOLD	Yes
2.7.1.6	PF10509	0.9746046111	GOLD	Yes
2.1.1.172	PF08468	0.9745953333	GOLD	Yes
5.4.99.25	PF01509	0.9742678333	GOLD	Yes
4.1.1.4	PF06314	0.9742354444	GOLD	Yes
1.1.1.267	PF02670	0.9742298889	GOLD	Yes
1.7.2.2	PF02335	0.9741655	GOLD	Yes
2.7.8.7	PF01648	0.9738983333	GOLD	Yes
5.1.99.6	PF03853	0.9735002222	GOLD	Yes
6.3.4.2	PF06418	0.9734182778	GOLD	Yes
2.1.1.14	PF08267	0.9732973889	GOLD	Yes
1.2.1.70	PF05201	0.9729492778	GOLD	Yes
5.3.1.23	PF01008	0.9727882778	GOLD	Yes
2.7.8.28	PF01933	0.9723060556	GOLD	No
5.3.3.4	PF02426	0.9721908333	GOLD	Yes
6.3.2.1	PF02569	0.9721627778	GOLD	Yes
1.1.1.25	PF08501	0.9721305	GOLD	Yes
2.7.1.26	PF01687	0.9720863333	GOLD	No
3.1.1.74	PF01083	0.9718503889	GOLD	Yes
2.7.7.68	PF01983	0.9715443889	GOLD	Yes
2.5.1.41	PF01884	0.9713984444	GOLD	No
3.3.2.6	PF09127	0.9711875	GOLD	Yes
6.3.4.13	PF02844	0.9709966667	GOLD	Yes
3.1.1.61	PF01339	0.9707942222	GOLD	Yes
2.1.1.185	PF08032	0.9705071667	GOLD	No
2.7.8.13	PF00953	0.9700319444	GOLD	Yes
2.1.1.171	PF03602	0.9698721667	GOLD	No
6.3.4.13	PF01071	0.9698297778	GOLD	Yes
2.7.7.38	PF02348	0.9696962778	GOLD	Yes
4.2.1.59	PF07977	0.9692822222	GOLD	Yes
5.3.1.12	PF02614	0.9691165556	GOLD	Yes
2.7.1.134	PF05770	0.9690926111	GOLD	Yes
2.7.4.1	PF13090	0.9685723889	GOLD	Yes
5.3.1.9	PF00342	0.968397	GOLD	Yes
3.4.21.53	PF05362	0.9677514444	GOLD	No
2.7.7.79	PF14413	0.9674563333	GOLD	Yes
2.3.1.184	PF00765	0.9665053889	GOLD	Yes
5.3.1.24	PF00697	0.9664881111	GOLD	Yes
2.7.7.8	PF03726	0.9661050556	GOLD	Yes
6.5.1.2	PF03120	0.9660162222	GOLD	Yes
6.2.1.30	PF14535	0.9657229444	GOLD	No
6.3.2.34	PF01996	0.9653505	GOLD	Yes
2.3.3.9	PF01274	0.9648425556	GOLD	Yes
5.3.2.6	PF01361	0.964536	GOLD	No
2.3.1.193	PF13718	0.9644839444	GOLD	No
5.3.1.14	PF06134	0.964466	GOLD	Yes
1.1.1.49	PF00479	0.9637548333	GOLD	Yes
2.4.2.29	PF01702	0.9636088889	GOLD	Yes
4.3.2.1	PF14698	0.9631927778	GOLD	Yes
2.7.7.87	PF01300	0.9630810556	GOLD	Yes
1.4.3.5	PF10590	0.9630343889	GOLD	Yes
5.1.1.1	PF00842	0.9627295	GOLD	Yes
2.7.4.1	PF02503	0.9626373889	GOLD	Yes
2.7.7.63	PF10437	0.9624958889	GOLD	Yes
1.11.1.6	PF00199	0.9624345556	GOLD	Yes
5.3.1.16	PF00977	0.9622816667	GOLD	No
5.4.99.12	PF01416	0.9622095556	GOLD	Yes
1.4.3.5	PF01243	0.9620728333	GOLD	Yes
2.7.7.12	PF02744	0.9617466111	GOLD	Yes
2.1.1.182	PF00398	0.9617285	GOLD	Yes
2.7.4.8	PF00625	0.9612848889	GOLD	No
2.1.1.216	PF02005	0.9610841111	GOLD	Yes
4.2.1.51	PF00800	0.9605462222	GOLD	Yes
3.5.1.98	PF00850	0.9602606667	GOLD	Yes
1.5.1.2	PF03807	0.9601409444	GOLD	No
2.3.1.180	PF08545	0.9601106111	GOLD	Yes
5.3.1.25	PF02952	0.9600575556	GOLD	Yes
3.4.13.19	PF01244	0.9600242778	SILVER	Yes
3.4.11.19	PF07932	0.9589406111	GOLD	No
4.1.1.23	PF00215	0.9587318333	GOLD	Yes
6.2.1.5	PF00549	0.9585221667	GOLD	Yes
1.10.3.9	PF00124	0.9584886111	GOLD	Yes
1.8.4.12	PF01641	0.9584497222	GOLD	Yes
4.1.3.39	PF07836	0.9580146667	GOLD	Yes
3.2.2.23	PF01149	0.9579938333	GOLD	Yes
2.8.1.4	PF02568	0.957945	GOLD	Yes
2.1.1.63	PF01035	0.9576753889	GOLD	Yes
1.2.1.70	PF00745	0.9573557778	GOLD	Yes
2.3.1.234	PF00814	0.9565308333	GOLD	Yes
3.2.2.23	PF06831	0.9561696111	GOLD	Yes
2.1.1.74	PF01134	0.9556442222	GOLD	No
3.6.1.22	PF09297	0.9555742222	GOLD	Yes
2.4.1.21	PF08323	0.9547428889	GOLD	Yes
4.1.3.17	PF03737	0.954058	GOLD	No
5.3.1.6	PF06026	0.9539039444	GOLD	Yes
1.1.1.3	PF00742	0.9536085556	GOLD	Yes
4.3.1.7	PF05985	0.9530156667	GOLD	Yes
1.11.1.6	PF06628	0.9528461111	GOLD	Yes
1.1.1.49	PF02781	0.9528226667	GOLD	Yes
3.4.14.11	PF09168	0.9523210556	GOLD	Yes
6.3.1.2	PF03951	0.9514833333	GOLD	Yes
1.7.3.3	PF01014	0.9514517778	GOLD	Yes
3.6.3.14	PF00006	0.9511596667	GOLD	Yes
1.10.9.1	PF08802	0.9504030556	GOLD	Yes
2.8.1.6	PF06968	0.9495096667	GOLD	Yes
3.2.1.28	PF01204	0.9492815	GOLD	Yes
2.1.2.9	PF02911	0.9492667222	GOLD	Yes
2.5.1.6	PF02773	0.9489512222	GOLD	Yes
6.1.1.16	PF01406	0.9483061667	GOLD	No
5.1.1.1	PF01168	0.947728	GOLD	Yes
2.3.1.97	PF01233	0.947466	GOLD	Yes
2.5.1.6	PF02772	0.9470556667	GOLD	Yes
2.7.1.40	PF02887	0.9462216667	GOLD	Yes
3.4.14.11	PF02129	0.9461505	SILVER	Yes
2.4.1.227	PF04101	0.9457947778	GOLD	Yes
3.4.14.11	PF08530	0.9454814444	SILVER	Yes
3.6.1.31	PF01503	0.9453182222	GOLD	Yes
2.5.1.6	PF00438	0.9452226667	GOLD	Yes
1.2.1.10	PF09290	0.9452108333	GOLD	Yes
6.5.1.1	PF01068	0.9447773889	GOLD	Yes
4.3.2.3	PF04115	0.9445646667	GOLD	Yes
2.3.1.108	PF05301	0.9444444444	GOLD	Yes
4.1.99.5	PF11266	0.9444444444	GOLD	Yes
2.7.8.26	PF02654	0.9444444444	GOLD	Yes
2.1.1.282	PF02676	0.9444444444	GOLD	Yes
1.5.98.1	PF01993	0.9444444444	GOLD	Yes
4.1.3.44	PF08608	0.9444444444	GOLD	Yes
2.4.2.52	PF01874	0.9440243889	GOLD	Yes
1.17.7.3	PF04551	0.9436667222	GOLD	Yes
2.4.1.182	PF02684	0.9434781667	GOLD	Yes
2.3.1.180	PF08541	0.9433491667	GOLD	Yes
2.4.1.13	PF00862	0.9433232222	GOLD	No
3.5.2.17	PF00576	0.9432771111	GOLD	No
2.3.2.8	PF04377	0.9431836111	GOLD	Yes
4.2.1.108	PF06339	0.9429627222	GOLD	Yes
2.1.2.10	PF01571	0.9422808889	GOLD	No
3.4.11.23	PF12404	0.9418778889	GOLD	Yes
4.1.1.65	PF02666	0.9418206667	GOLD	Yes
2.7.7.47	PF13427	0.9416747778	GOLD	Yes
3.4.23.36	PF01252	0.9412543889	GOLD	Yes
6.3.5.2	PF00958	0.9409525	GOLD	Yes
3.1.4.14	PF04336	0.9407525556	GOLD	Yes
4.2.1.70	PF04227	0.9406082778	GOLD	Yes
2.4.1.207	PF06955	0.9406010556	GOLD	Yes
2.1.2.10	PF08669	0.9399619444	GOLD	Yes
2.1.1.181	PF05971	0.9397656667	GOLD	Yes
1.8.7.2	PF02943	0.9396039444	GOLD	Yes
3.4.22.39	PF00770	0.9396039444	GOLD	Yes
2.7.4.1	PF13089	0.9394213889	GOLD	Yes
2.8.1.10	PF05690	0.9392302222	GOLD	No
2.1.1.176	PF01029	0.9391013333	SILVER	No
1.1.1.290	PF11890	0.9389167778	GOLD	Yes
2.3.1.97	PF02799	0.9388866667	GOLD	Yes
2.7.7.66	PF10620	0.9385888333	GOLD	Yes
1.2.1.50	PF05893	0.9383817222	GOLD	Yes
3.1.26.8	PF13331	0.9378005	GOLD	Yes
