,ec,cofactor,rn
99,1.13.11.27,fe,R01372
100,1.13.11.27,fe,R02521
101,1.13.11.3,fe,R01631
102,1.13.11.3,fe,R03549
103,1.13.11.36,fe,R04602
104,1.13.11.37,fe,R03891
105,1.13.11.37,fe,R04061
106,1.13.11.38,fe,R03466
107,1.13.11.38,fe,R07657
108,1.13.11.39,fe,R03462
109,1.13.11.39,fe,R05245
110,1.13.11.39,fe,R07827
111,1.13.11.39,mn,R03462
112,1.13.11.39,mn,R05245
113,1.13.11.39,mn,R07827
114,1.13.11.4,fe,R02656
115,1.13.11.43,fe,R00043
116,1.13.11.45,mn,R05718
117,1.13.11.46,fe,R05778
118,1.13.11.46,fe,R06632
119,1.13.11.49,fe,R05721
120,1.13.11.5,fe,R02519
121,1.13.11.51,fe,R06952
122,1.13.11.51,fe,R06953
123,1.13.11.51,fe,R09682
124,1.13.11.54,fe,R07363
125,1.13.11.54,fe,R07364
126,1.13.11.55,fe,R07365
127,1.13.11.56,fe,R04117
128,1.13.11.57,fe,R03550
129,1.13.11.57,fe,R04280
130,1.13.11.57,fe,R09565
131,1.13.11.58,fe,R07057
132,1.13.11.6,fe,R02665
133,1.13.11.63,fe,R00032
134,1.13.11.66,fe,R05246
135,1.13.11.68,fe,R10557
136,1.13.11.69,fe,R10558
137,1.13.11.70,fe,R10558
138,1.13.11.70,fe,R10560
139,1.13.11.71,fe,R10559
140,1.13.11.74,fe,R05405
141,1.13.11.75,fe,R09601
142,1.13.11.76,fe,R05405
143,1.13.11.76,fe,R10521
144,1.13.11.77,fe,R10576
145,1.13.11.77,fe,R10577
146,1.13.11.77,fe,R10578
147,1.13.11.78,fe,R10722
148,1.13.11.8,fe,R01632
149,1.13.11.8,fe,R03550
150,1.13.11.8,fe,R04280
151,1.13.11.8,fe,R09272
152,1.13.11.8,fe,R09565
153,1.13.11.9,fe,R09125
154,1.13.99.1,fe,R01184
155,1.14.11.1,fe,R02397
156,1.14.11.11,fe,R03737
157,1.14.11.11,fe,R03812
158,1.14.11.12,fe,R03806
159,1.14.11.12,fe,R03807
160,1.14.11.12,fe,R05097
161,1.14.11.12,fe,R06322
162,1.14.11.12,fe,R06323
163,1.14.11.12,fe,R06326
164,1.14.11.12,fe,R07184
165,1.14.11.14,fe,R03737
166,1.14.11.15,fe,R03009
167,1.14.11.15,fe,R06336
168,1.14.11.16,fe,R04073
169,1.14.11.18,fe,R05722
170,1.14.11.2,fe,R01252
171,1.14.11.2,fe,R03219
172,1.14.11.20,fe,R05857
173,1.14.11.21,fe,R05466
174,1.14.11.21,fe,R05468
175,1.14.11.21,fe,R05469
176,1.14.11.22,fe,R02445
177,1.14.11.22,fe,R03590
178,1.14.11.22,fe,R06551
179,1.14.11.22,fe,R07367
180,1.14.11.22,fe,R08081
181,1.14.11.23,fe,R02160
182,1.14.11.23,fe,R03126
183,1.14.11.23,fe,R06539
184,1.14.11.23,fe,R07368
185,1.14.11.23,fe,R08082
186,1.14.11.24,fe,R07185
187,1.14.11.25,fe,R07186
188,1.14.11.25,fe,R07187
189,1.14.11.26,fe,R05229
190,1.14.11.27,fe,R09510
191,1.14.11.27,fe,R09511
192,1.14.11.27,fe,R10056
193,1.14.11.28,fe,R09572
194,1.14.11.31,fe,R03698
195,1.14.11.31,fe,R05126
196,1.14.11.32,fe,R05127
197,1.14.11.32,fe,R09402
198,1.14.11.37,fe,R10312
199,1.14.11.38,fe,R10445
