,rn
5472,R04823
5473,R04824
5474,R04825
5475,R04826
5476,R04826
5477,R04827
5478,R04829
5479,R04830
5480,R04831
5481,R04832
5482,R04833
5483,R04834
5484,R04835
5485,R04836
5486,R04837
5487,R04838
5488,R04840
5489,R04842
5490,R04843
5491,R04844
5492,R04845
5493,R04846
5494,R04847
5495,R04849
5496,R04849
5497,R04850
5498,R04850
5499,R04852
5500,R04852
5501,R04853
5502,R04853
5503,R04854
5504,R04855
5507,R04858
5508,R04859
5509,R04859
5510,R04859
5511,R04859
5512,R04859
5514,R04862
5515,R04862
5516,R04863
5517,R04863
5518,R04863
5519,R04864
5521,R04866
5522,R04866
5523,R04866
5524,R04867
5525,R04867
5526,R04867
5527,R04868
5529,R04872
5530,R04880
5531,R04880
5532,R04880
5533,R04881
5534,R04882
5535,R04883
5536,R04884
5537,R04887
5538,R04888
5539,R04889
5541,R04891
5542,R04892
5545,R04900
5546,R04901
5547,R04901
5548,R04902
5549,R04903
5550,R04903
5551,R04903
5552,R04903
5553,R04904
5554,R04905
5557,R04909
5558,R04911
5559,R04915
5560,R04920
5561,R04920
5562,R04922
5563,R04922
5564,R04927
5565,R04928
5566,R04928
5567,R04929
5568,R04929
5569,R04930
5570,R04931
5574,R04941
5575,R04942
5576,R04942
5577,R04942
5578,R04944
5579,R04945
5580,R04946
5581,R04948
5582,R04948
5583,R04948
5585,R04950
5586,R04951
5587,R04951
5588,R04951
5589,R04951
5590,R04952
5591,R04952
5592,R04952
5593,R04952
5594,R04953
5595,R04953
5596,R04953
5597,R04954
5598,R04954
5599,R04954
5600,R04954
5601,R04954
5602,R04955
5603,R04955
5604,R04955
5605,R04956
5606,R04956
5607,R04956
5608,R04956
5609,R04956
5610,R04956
5611,R04957
5612,R04957
5613,R04957
5614,R04957
5615,R04958
5616,R04958
5617,R04958
5618,R04959
5619,R04959
5620,R04959
5621,R04959
5622,R04959
5623,R04959
5624,R04960
5625,R04960
5626,R04960
5627,R04960
5628,R04961
5629,R04961
5630,R04961
5631,R04962
5632,R04962
5633,R04962
5634,R04962
5635,R04962
5636,R04962
5637,R04963
5638,R04963
5639,R04963
5640,R04963
5641,R04964
5642,R04964
5643,R04964
5644,R04965
5645,R04965
5646,R04965
5647,R04965
5648,R04965
5649,R04966
5650,R04966
5651,R04966
5652,R04967
5653,R04967
5654,R04967
5655,R04967
5656,R04967
5657,R04967
5658,R04968
5659,R04968
5660,R04968
5661,R04968
5662,R04969
5663,R04969
5664,R04969
5665,R04970
5666,R04970
5667,R04970
5668,R04970
5669,R04970
5670,R04970
5671,R04972
5673,R04983
5674,R04985
5675,R04986
5676,R04988
5677,R04988
5678,R04990
5679,R04990
5680,R04993
5681,R04993
5682,R04996
5684,R05000
5685,R05002
5686,R05032
5687,R05035
5688,R05036
5689,R05037
5690,R05038
5691,R05038
5692,R05039
5693,R05046
5694,R05048
5695,R05049
5696,R05050
5697,R05050
5698,R05050
5699,R05050
5700,R05051
5701,R05051
5705,R05061
5707,R05064
5708,R05066
5709,R05066
5710,R05066
5712,R05066
5713,R05068
5714,R05069
5715,R05069
5716,R05070
5717,R05071
5718,R05071
5719,R05072
5724,R05075
5725,R05076
5726,R05081
5728,R05086
5729,R05092
5730,R05097
5731,R05098
5732,R05099
5733,R05099
5736,R05105
5737,R05109
5738,R05110
5739,R05111
5746,R05123
5747,R05124
5748,R05126
5749,R05127
5750,R05132
5753,R05135
5754,R05135
5755,R05135
5756,R05136
5758,R05140
5761,R05144
5762,R05145
5763,R05145
5764,R05145
5765,R05145
5766,R05145
5767,R05146
5768,R05147
5769,R05148
5770,R05149
5771,R05150
5772,R05150
5773,R05151
5774,R05152
5775,R05154
5776,R05155
5777,R05156
5778,R05157
5779,R05158
5780,R05162
5781,R05163
5782,R05164
5783,R05165
5785,R05167
5786,R05168
5787,R05169
5788,R05170
5789,R05171
5790,R05172
5791,R05173
5792,R05174
5794,R05176
5795,R05177
5796,R05177
5797,R05179
5798,R05180
5799,R05180
5801,R05181
5802,R05181
5803,R05182
5804,R05183
5805,R05185
5806,R05186
5807,R05188
5808,R05189
5809,R05190
5810,R05191
5812,R05196
5816,R05199
5817,R05202
5821,R05211
5822,R05212
5823,R05213
5824,R05214
5826,R05216
5827,R05217
5829,R05219
5830,R05220
5831,R05221
5832,R05221
5833,R05222
5834,R05222
5835,R05223
5839,R05226
5841,R05229
5843,R05231
5844,R05233
5845,R05233
5846,R05233
5847,R05234
5848,R05234
5849,R05234
5850,R05235
5851,R05236
5852,R05237
5853,R05238
5854,R05239
5855,R05240
5856,R05241
5857,R05244
5858,R05245
5859,R05246
5860,R05247
5861,R05248
5862,R05249
5863,R05258
5866,R05261
5867,R05261
5868,R05262
5869,R05262
5870,R05263
5871,R05263
5872,R05264
5873,R05264
5874,R05266
5875,R05270
5876,R05271
5877,R05272
5878,R05273
5879,R05274
5880,R05275
5881,R05276
5882,R05282
5883,R05283
5886,R05286
5889,R05288
5890,R05289
5891,R05289
5892,R05290
5893,R05291
5894,R05292
5895,R05292
5896,R05293
5897,R05293
5898,R05294
5899,R05295
5901,R05297
5902,R05298
5903,R05298
5904,R05299
5905,R05300
5906,R05301
5907,R05304
5908,R05305
5909,R05305
5910,R05305
5912,R05305
5913,R05308
5914,R05309
5915,R05310
5916,R05311
5917,R05312
5918,R05313
5919,R05314
5920,R05314
5921,R05315
5922,R05316
5924,R05318
5925,R05320
5926,R05321
5927,R05322
5928,R05323
5929,R05324
5930,R05325
5931,R05326
5932,R05327
5933,R05328
5934,R05329
5935,R05330
5936,R05331
5937,R05332
5938,R05332
5939,R05333
5943,R05338
5944,R05338
5945,R05338
5946,R05339
5947,R05339
5948,R05341
5949,R05341
5950,R05347
5951,R05348
5952,R05349
5953,R05350
5954,R05352
5955,R05353
5956,R05353
5957,R05354
5958,R05355
5959,R05357
5970,R05373
5971,R05374
5972,R05375
5973,R05378
5974,R05379
5975,R05380
5976,R05383
5978,R05390
5979,R05391
5980,R05392
5981,R05393
5982,R05399
5983,R05404
5984,R05405
5985,R05405
5986,R05406
5987,R05414
5991,R05422
5992,R05422
5993,R05423
5994,R05423
5995,R05424
5996,R05424
5997,R05425
5998,R05425
5999,R05426
6000,R05426
6001,R05427
6002,R05427
6003,R05428
6004,R05441
6005,R05442
6006,R05443
6007,R05444
6011,R05453
6012,R05465
6013,R05466
6015,R05468
6016,R05469
6018,R05496
6019,R05499
6020,R05500
6021,R05501
6022,R05506
6027,R05520
6028,R05521
6029,R05522
6030,R05526
6031,R05530
6032,R05531
6033,R05532
6037,R05551
6039,R05553
6040,R05554
6041,R05556
6045,R05561
6046,R05562
6047,R05563
6048,R05566
6049,R05570
6050,R05571
6051,R05575
6052,R05576
6058,R05579
6060,R05581
6062,R05586
6064,R05590
6068,R05595
6069,R05595
6070,R05595
6071,R05595
6072,R05596
6073,R05597
6074,R05598
6075,R05604
6076,R05605
6077,R05605
6078,R05605
6079,R05606
6080,R05607
6081,R05608
6082,R05614
6083,R05614
6084,R05615
6085,R05616
6086,R05617
6088,R05621
6089,R05622
6090,R05623
6092,R05626
6093,R05627
6094,R05629
6095,R05630
6096,R05631
6097,R05632
6098,R05632
6099,R05633
6100,R05633
6101,R05634
6102,R05635
6104,R05637
6105,R05637
6106,R05639
6107,R05640
6108,R05641
6109,R05643
6110,R05644
6111,R05644
6112,R05645
6113,R05646
6114,R05646
6115,R05647
6116,R05647
6119,R05659
6120,R05661
6121,R05662
6122,R05663
6123,R05663
6124,R05664
6125,R05664
6126,R05665
6127,R05666
6128,R05676
6129,R05678
6130,R05679
6131,R05680
6132,R05681
6133,R05682
6134,R05683
6135,R05683
6136,R05684
6137,R05685
6138,R05686
6139,R05687
6140,R05688
6141,R05689
6142,R05690
6143,R05691
6144,R05692
6145,R05693
6146,R05695
6147,R05696
6148,R05697
6149,R05698
6150,R05699
6151,R05700
6152,R05701
6153,R05702
6154,R05703
6159,R05705
6162,R05707
6165,R05708
6166,R05711
6167,R05712
6168,R05713
6169,R05714
6170,R05715
6171,R05716
6173,R05718
6174,R05719
6175,R05720
6176,R05721
6177,R05722
6178,R05723
6179,R05724
6180,R05725
6181,R05727
6182,R05728
6183,R05729
6184,R05730
6185,R05731
6186,R05732
6187,R05733
6188,R05734
6189,R05735
6190,R05736
6191,R05737
6192,R05738
6193,R05739
6194,R05740
6195,R05741
6196,R05742
6197,R05743
6199,R05745
6205,R05751
6207,R05753
6208,R05754
6209,R05755
6210,R05756
6211,R05757
6212,R05758
6213,R05759
6214,R05760
6215,R05761
6216,R05762
6217,R05763
6218,R05764
6219,R05765
6220,R05765
6221,R05766
6222,R05766
6223,R05767
6224,R05768
6225,R05769
6226,R05771
6227,R05772
6228,R05772
6229,R05773
6230,R05773
6231,R05774
6233,R05776
6234,R05777
6235,R05778
6236,R05779
6238,R05781
6239,R05782
6240,R05783
6243,R05789
6244,R05790
6245,R05791
6248,R05794
6249,R05795
6252,R05798
6253,R05798
6254,R05798
6256,R05800
6257,R05800
6258,R05801
6259,R05801
6260,R05802
6261,R05803
6262,R05804
6263,R05805
6264,R05805
6265,R05806
6266,R05807
6267,R05808
6268,R05808
6269,R05808
6270,R05809
6271,R05809
6273,R05810
6274,R05810
6275,R05812
6276,R05812
6277,R05813
6278,R05813
6279,R05814
6280,R05814
6285,R05817
6286,R05818
6287,R05819
6288,R05820
6289,R05821
6290,R05822
6291,R05823
6294,R05827
6295,R05828
6296,R05830
6297,R05831
6298,R05832
6300,R05834
6301,R05835
6302,R05837
6305,R05841
6306,R05841
6307,R05842
6312,R05850
6313,R05855
6314,R05857
6319,R05864
6320,R05864
6322,R05875
6323,R05876
6324,R05877
6326,R05879
6328,R05882
6329,R05884
6330,R05885
6333,R05901
6334,R05904
6337,R05907
6338,R05908
6339,R05909
6340,R05910
6341,R05910
6343,R05912
6346,R05915
6347,R05916
6348,R05917
6349,R05925
6350,R05926
6351,R05927
6352,R05928
6353,R05929
6354,R05929
6355,R05930
6356,R05930
6357,R05931
6358,R05931
6359,R05932
6360,R05932
6361,R05933
6362,R05933
6363,R05934
6364,R05934
6365,R05935
6366,R05935
6367,R05936
6368,R05936
6370,R05938
6371,R05939
6373,R05941
6376,R05946
6378,R05948
6380,R05952
6381,R05953
6382,R05956
6385,R05960
6388,R05962
6390,R05965
6393,R05968
6394,R05969
6395,R05970
6396,R05971
6397,R05972
6398,R05973
6399,R05973
6400,R05974
6401,R05975
6402,R05975
6404,R05977
6405,R05977
6406,R05977
6407,R05977
6408,R05978
6413,R05983
6415,R05985
6416,R05986
6417,R05987
6418,R05988
6419,R05989
6420,R05989
6421,R05989
6423,R05991
6424,R05992
6425,R05992
6436,R06006
6440,R06011
6442,R06013
6443,R06013
6444,R06014
6445,R06015
6446,R06016
6447,R06018
6448,R06018
6449,R06020
6450,R06022
6451,R06023
6452,R06024
6453,R06025
6454,R06025
6456,R06027
6457,R06028
6458,R06029
6459,R06029
6460,R06030
6461,R06031
6463,R06033
6464,R06033
6465,R06033
6466,R06033
6467,R06034
6468,R06035
6469,R06036
6471,R06038
6472,R06038
6473,R06039
6474,R06039
6475,R06040
6476,R06041
6477,R06042
6478,R06043
6479,R06044
6480,R06045
6481,R06046
6482,R06047
6483,R06048
6484,R06049
6485,R06050
6486,R06051
6487,R06052
6488,R06053
6490,R06055
6491,R06056
6492,R06057
6493,R06058
6494,R06059
6495,R06061
6496,R06062
6497,R06066
6498,R06066
6499,R06067
6500,R06068
6501,R06069
6503,R06071
6504,R06072
6505,R06073
6506,R06074
6507,R06075
6508,R06075
6509,R06076
6510,R06076
6513,R06079
6517,R06083
6519,R06085
6520,R06086
6530,R06089
6531,R06090
6536,R06095
6537,R06095
6562,R06117
6564,R06119
6565,R06120
6567,R06122
6573,R06125
6574,R06126
6575,R06127
6576,R06128
6577,R06129
6578,R06130
6579,R06131
6580,R06131
6581,R06131
6582,R06131
6583,R06132
6584,R06132
6585,R06132
6586,R06132
6587,R06132
6588,R06132
6589,R06132
6590,R06132
6597,R06134
6598,R06134
6599,R06134
6600,R06134
6601,R06134
6602,R06134
6603,R06134
6604,R06134
6605,R06134
6606,R06134
6607,R06134
6608,R06134
6609,R06134
6610,R06134
6611,R06134
6612,R06134
6613,R06135
6615,R06138
6616,R06138
6617,R06138
6618,R06138
6619,R06138
6620,R06139
6626,R06145
6636,R06155
6637,R06156
6643,R06162
6644,R06163
6645,R06164
6646,R06165
6647,R06166
6648,R06167
6649,R06167
6650,R06168
6651,R06168
6652,R06169
6653,R06170
6654,R06171
6655,R06171
6656,R06172
6657,R06173
6658,R06174
6660,R06176
6661,R06177
6662,R06178
6663,R06179
6664,R06180
6665,R06180
6666,R06180
6667,R06181
6668,R06182
6669,R06183
6670,R06184
6671,R06185
6672,R06186
6673,R06187
6674,R06187
6676,R06189
6677,R06190
6678,R06190
6679,R06191
6680,R06191
6681,R06193
6682,R06193
6683,R06197
6684,R06197
6700,R06211
6701,R06212
6702,R06214
6703,R06217
6704,R06218
6705,R06219
6706,R06221
6707,R06221
6708,R06222
6709,R06222
6710,R06223
6711,R06224
6712,R06224
6714,R06226
6715,R06227
6716,R06227
6717,R06228
6718,R06229
6719,R06230
6720,R06230
6721,R06233
6722,R06235
6723,R06236
6724,R06237
6725,R06238
6726,R06238
6730,R06241
6732,R06243
6733,R06244
6734,R06245
6735,R06246
6736,R06247
6739,R06251
6741,R06258
6742,R06259
6743,R06259
6744,R06260
6745,R06261
6746,R06261
6747,R06262
6748,R06263
6749,R06264
6750,R06265
6751,R06266
6752,R06267
6753,R06272
6755,R06275
6756,R06276
6757,R06277
6758,R06277
6759,R06278
6760,R06279
6763,R06282
6765,R06284
6767,R06286
6768,R06289
6769,R06290
6770,R06291
6771,R06292
6772,R06293
6773,R06294
6774,R06295
6775,R06296
6776,R06297
6777,R06298
6778,R06298
6779,R06298
6780,R06298
6781,R06298
6782,R06299
6783,R06301
6784,R06301
6785,R06302
6786,R06302
6787,R06303
6788,R06303
6789,R06303
6790,R06304
6791,R06304
6792,R06305
6793,R06306
6794,R06307
6795,R06308
6796,R06309
6797,R06310
6798,R06311
6799,R06312
6800,R06312
6801,R06313
6802,R06313
6803,R06314
6804,R06314
6805,R06315
6806,R06315
6807,R06322
6808,R06323
6809,R06326
6810,R06336
6811,R06337
6812,R06338
6813,R06342
6814,R06343
6815,R06344
6816,R06345
6817,R06351
6818,R06354
6819,R06357
6820,R06361
6821,R06363
6822,R06364
6823,R06364
6824,R06366
6825,R06372
6826,R06373
6827,R06376
6828,R06377
6829,R06378
6830,R06379
6831,R06382
6832,R06383
6833,R06384
6834,R06385
6835,R06386
6836,R06387
6837,R06388
6838,R06389
6843,R06398
6844,R06399
6845,R06400
6846,R06411
6847,R06411
6849,R06411
6850,R06412
6851,R06412
6853,R06412
6854,R06417
6855,R06419
6856,R06420
6857,R06421
6858,R06421
6859,R06422
6863,R06427
6864,R06432
6865,R06437
6866,R06438
6867,R06439
6868,R06447
6869,R06450
6870,R06451
6871,R06452
6872,R06456
6873,R06460
6874,R06461
6875,R06462
6876,R06463
6877,R06464
6878,R06466
6879,R06466
6880,R06466
6881,R06466
6882,R06469
6883,R06469
6884,R06469
6885,R06471
6886,R06471
6887,R06471
6888,R06502
6889,R06513
6890,R06514
6891,R06516
6892,R06517
6893,R06518
6894,R06520
6895,R06521
6896,R06522
6897,R06523
6898,R06525
6899,R06526
6900,R06527
6901,R06528
6903,R06530
6904,R06531
6905,R06532
6906,R06533
6907,R06534
6908,R06535
6909,R06536
6910,R06537
6911,R06537
6912,R06538
6913,R06538
6914,R06539
6915,R06540
6916,R06541
6917,R06542
6918,R06543
6919,R06544
6920,R06545
6921,R06546
6922,R06547
6923,R06551
6924,R06556
6925,R06558
6926,R06558
6927,R06560
6928,R06560
6929,R06561
6930,R06562
6931,R06563
6932,R06564
6933,R06564
6934,R06568
6935,R06568
6936,R06569
6937,R06570
6938,R06571
6939,R06574
6940,R06575
6941,R06576
6942,R06577
6943,R06578
6944,R06582
6946,R06585
6947,R06586
6948,R06588
6949,R06589
6951,R06595
6952,R06601
6953,R06601
6955,R06602
6956,R06604
6957,R06604
6958,R06604
6959,R06606
6960,R06607
6961,R06610
6962,R06610
6963,R06611
6964,R06613
6965,R06615
6966,R06620
6967,R06621
6968,R06622
6969,R06623
6970,R06624
6972,R06632
6973,R06633
6975,R06635
6976,R06637
6977,R06641
6978,R06643
6979,R06644
6980,R06645
6981,R06675
6982,R06676
6983,R06676
6984,R06677
6986,R06680
6987,R06681
6988,R06681
6989,R06682
6990,R06683
6991,R06687
6992,R06688
6993,R06689
6994,R06690
6995,R06691
6996,R06692
6997,R06693
6998,R06699
7000,R06701
7001,R06704
7005,R06734
7006,R06735
7007,R06736
7009,R06757
7010,R06767
7011,R06767
7012,R06770
7013,R06771
7015,R06773
7016,R06774
7019,R06778
7021,R06782
7022,R06782
7023,R06783
7024,R06783
7025,R06784
7026,R06785
7027,R06786
7028,R06787
7029,R06788
7031,R06793
7032,R06794
7033,R06795
7034,R06796
7035,R06797
7036,R06799
7037,R06800
7038,R06801
7039,R06803
7040,R06804
7041,R06805
7042,R06806
7043,R06807
7044,R06808
7045,R06809
7046,R06810
7047,R06811
7048,R06812
7049,R06813
7050,R06814
7051,R06815
7052,R06816
7053,R06817
7054,R06819
7055,R06820
7056,R06821
7057,R06824
7058,R06826
7059,R06827
7060,R06828
7061,R06829
7062,R06832
7063,R06833
7064,R06834
7068,R06839
7069,R06840
7070,R06846
7071,R06847
7072,R06848
7073,R06857
7074,R06858
7075,R06859
7076,R06859
7081,R06868
7082,R06869
7083,R06870
7084,R06871
7085,R06872
7086,R06875
7087,R06875
7088,R06892
7091,R06895
7092,R06896
7093,R06909
7094,R06909
7095,R06910
7096,R06910
7097,R06915
7098,R06917
7099,R06917
7100,R06917
7101,R06927
7102,R06927
7103,R06927
7104,R06930
7105,R06930
7106,R06931
7107,R06931
7108,R06936
7109,R06937
7110,R06937
7111,R06939
7112,R06941
7113,R06941
7114,R06941
7116,R06941
7117,R06942
7118,R06942
7119,R06942
7121,R06942
7122,R06946
7123,R06947
7124,R06948
7125,R06951
7126,R06952
7127,R06953
7128,R06954
7129,R06957
7130,R06960
7131,R06962
7132,R06963
7135,R06973
7136,R06975
7139,R06978
7140,R06979
7141,R06980
7142,R06982
7143,R06983
7144,R06983
7145,R06985
7146,R06985
7147,R06986
7148,R06987
7149,R06988
7150,R06989
7151,R06990
7152,R07000
7153,R07000
7154,R07000
7155,R07000
7157,R07001
7158,R07001
7159,R07001
7160,R07001
7162,R07002
7163,R07003
7164,R07004
7167,R07015
7168,R07015
7171,R07023
7172,R07024
7173,R07025
7174,R07026
7176,R07034
7177,R07035
7179,R07041
7180,R07041
7181,R07041
7186,R07046
7187,R07046
7188,R07046
7190,R07046
7191,R07048
7192,R07048
7193,R07048
7195,R07050
7196,R07050
7197,R07050
7199,R07050
7200,R07051
7201,R07051
7202,R07051
7205,R07053
7207,R07055
7208,R07055
7209,R07055
7210,R07055
7211,R07055
7212,R07055
7213,R07055
7215,R07056
7216,R07056
7217,R07056
7218,R07056
7219,R07056
7220,R07056
7221,R07056
7223,R07057
7224,R07059
7225,R07060
7226,R07061
7227,R07061
7228,R07061
7229,R07062
7230,R07062
7231,R07063
7232,R07064
7238,R07069
7239,R07070
7242,R07079
7243,R07079
7244,R07079
7245,R07079
7246,R07079
7247,R07079
7248,R07079
7250,R07080
7251,R07080
7252,R07080
7253,R07080
7254,R07080
7255,R07080
7256,R07080
7258,R07081
7259,R07081
7260,R07081
7261,R07081
7262,R07081
7263,R07081
7264,R07081
7267,R07083
7268,R07084
7269,R07085
7270,R07085
7271,R07085
7272,R07085
7273,R07085
7274,R07085
7275,R07085
7277,R07087
7278,R07087
7279,R07087
7280,R07087
7281,R07087
7282,R07087
7283,R07087
7285,R07091
7286,R07092
7287,R07093
7288,R07094
7289,R07098
7292,R07100
7293,R07104
7294,R07105
7295,R07105
7296,R07106
7297,R07108
7299,R07109
7301,R07110
7303,R07111
7305,R07113
7306,R07116
7307,R07125
7308,R07127
7310,R07133
7311,R07134
7312,R07135
7313,R07136
7314,R07136
7315,R07137
7316,R07138
7317,R07140
7318,R07141
7319,R07142
7320,R07143
7321,R07144
7322,R07145
7323,R07147
7324,R07147
7325,R07147
7326,R07148
7327,R07149
7328,R07150
7329,R07151
7330,R07152
7331,R07153
7332,R07154
7333,R07155
7334,R07156
7335,R07157
7336,R07157
7337,R07158
7338,R07159
7339,R07160
7340,R07161
7341,R07162
7342,R07163
7343,R07164
7344,R07165
7349,R07170
7353,R07174
7354,R07175
7356,R07177
7359,R07180
7360,R07181
7361,R07181
7362,R07182
7363,R07183
7364,R07184
7365,R07185
7366,R07186
7367,R07187
7368,R07188
7369,R07190
7370,R07191
7371,R07192
7372,R07193
7373,R07194
7374,R07195
7375,R07196
7376,R07197
7377,R07198
7378,R07199
7379,R07200
7380,R07201
7381,R07202
7382,R07203
7383,R07204
7384,R07205
7385,R07206
7386,R07207
7387,R07208
7388,R07209
7391,R07211
7392,R07212
7393,R07213
7394,R07214
7396,R07216
7397,R07217
7398,R07218
7399,R07219
7401,R07221
7402,R07222
7403,R07222
7404,R07223
7405,R07224
7406,R07225
7410,R07229
7411,R07230
7412,R07232
7413,R07233
7414,R07233
7415,R07234
7416,R07234
7417,R07234
7418,R07234
7419,R07234
7420,R07235
7421,R07235
7422,R07236
7423,R07237
7424,R07238
7425,R07239
7426,R07240
7427,R07240
7428,R07241
7429,R07242
7430,R07243
7431,R07243
7432,R07243
7433,R07244
7434,R07244
7435,R07244
7438,R07248
7439,R07249
7440,R07250
7441,R07251
7442,R07252
7443,R07253
7444,R07255
7445,R07256
7446,R07257
7447,R07258
7448,R07259
7449,R07260
7450,R07261
7451,R07262
7452,R07263
7453,R07264
7454,R07265
7455,R07266
7456,R07267
7457,R07267
7458,R07268
7459,R07270
7460,R07270
7461,R07270
7462,R07271
7463,R07272
7464,R07273
7465,R07274
7466,R07274
7467,R07274
7474,R07279
7475,R07281
7476,R07281
7477,R07282
7478,R07285
7479,R07287
7480,R07288
7481,R07289
7486,R07294
7487,R07294
7488,R07295
7489,R07296
7490,R07297
7491,R07297
7492,R07298
7493,R07299
7494,R07300
7495,R07301
7497,R07303
7498,R07305
7499,R07306
7500,R07307
7506,R07312
7507,R07313
7508,R07314
7509,R07316
7510,R07316
7511,R07317
7512,R07318
7513,R07319
7514,R07320
7515,R07321
7516,R07322
7517,R07322
7518,R07323
7519,R07323
7520,R07324
7521,R07326
7522,R07328
7523,R07328
7524,R07329
7525,R07330
7526,R07332
7527,R07333
7528,R07334
7529,R07335
7530,R07336
7531,R07336
7532,R07337
7533,R07338
7534,R07339
7535,R07340
7536,R07341
7538,R07343
7539,R07344
7540,R07345
7541,R07346
7542,R07347
7543,R07348
7544,R07349
7545,R07350
7546,R07350
7547,R07351
7548,R07352
7552,R07356
7553,R07357
7554,R07358
7555,R07359
7556,R07359
7559,R07362
7560,R07363
7561,R07363
7562,R07364
7563,R07364
7564,R07365
7565,R07366
7566,R07367
7567,R07368
7568,R07369
7569,R07370
7570,R07371
7571,R07372
7572,R07372
7573,R07373
7574,R07374
7575,R07375
7576,R07376
7577,R07379
7583,R07381
7584,R07384
7585,R07384
7586,R07385
7587,R07387
7593,R07388
7594,R07389
7595,R07389
7596,R07392
7597,R07392
7598,R07393
7600,R07394
7601,R07394
7602,R07395
7603,R07395
7606,R07397
7607,R07398
7608,R07399
7610,R07402
7611,R07403
7612,R07404
7613,R07405
7614,R07406
7615,R07407
7617,R07409
7618,R07410
7622,R07419
7623,R07421
7624,R07422
7625,R07423
7626,R07426
7627,R07429
7628,R07431
7629,R07432
7630,R07433
7631,R07437
7632,R07441
7633,R07442
7634,R07443
7635,R07443
7636,R07443
7637,R07447
7638,R07448
7645,R07459
7646,R07460
7648,R07475
7649,R07476
7650,R07477
7651,R07478
7652,R07479
7653,R07480
7654,R07481
7655,R07482
7656,R07483
7657,R07484
7658,R07485
7660,R07487
7661,R07488
7662,R07490
7664,R07492
7665,R07493
7666,R07494
7667,R07495
7668,R07495
7669,R07498
7670,R07499
7671,R07500
7672,R07500
7673,R07501
7674,R07502
7675,R07503
7676,R07504
7678,R07507
7679,R07509
7680,R07510
7681,R07511
7684,R07514
7686,R07516
7687,R07517
7688,R07518
7689,R07519
7690,R07520
7691,R07521
7692,R07522
7693,R07523
7694,R07524
7695,R07525
7696,R07526
7697,R07527
7698,R07528
7699,R07529
7700,R07530
7701,R07531
7702,R07532
7703,R07533
7704,R07534
7705,R07535
7706,R07536
7707,R07537
7708,R07538
7709,R07539
7710,R07543
7711,R07558
7712,R07559
7713,R07561
7714,R07562
7715,R07568
7716,R07569
7717,R07570
7718,R07572
7719,R07574
7720,R07575
7721,R07582
7722,R07583
7723,R07583
7724,R07584
7733,R07605
7738,R07610
7739,R07611
7740,R07612
7742,R07617
7743,R07617
7744,R07617
7745,R07617
7746,R07618
7747,R07620
7748,R07622
7751,R07629
7752,R07630
7753,R07631
7754,R07632
7755,R07633
7756,R07634
7757,R07635
7758,R07636
7759,R07638
7760,R07639
7761,R07639
7767,R07647
7768,R07647
7769,R07647
7770,R07648
7771,R07648
7772,R07648
7773,R07649
7774,R07650
7775,R07651
7776,R07652
7778,R07654
7779,R07657
7780,R07658
7783,R07660
7785,R07661
7786,R07664
7787,R07666
7788,R07667
7789,R07667
7792,R07671
7793,R07672
7794,R07673
7795,R07674
7796,R07674
7797,R07674
7798,R07675
7799,R07675
7800,R07676
7801,R07678
7803,R07703
7804,R07704
7805,R07704
7806,R07705
7807,R07705
7808,R07709
7809,R07709
7810,R07710
7811,R07710
7812,R07713
7813,R07715
7814,R07718
7815,R07719
7816,R07720
7817,R07721
7818,R07722
7819,R07722
7820,R07723
7821,R07724
7822,R07729
7823,R07731
7824,R07737
7825,R07738
7826,R07740
7827,R07741
7829,R07746
7830,R07747
7831,R07750
7832,R07751
7833,R07753
7834,R07754
7835,R07757
7836,R07758
7837,R07759
7838,R07759
7839,R07759
7840,R07760
7841,R07761
7842,R07761
7843,R07762
7844,R07762
7845,R07762
7846,R07763
7847,R07764
7848,R07765
7849,R07765
7850,R07766
7851,R07767
7852,R07768
7853,R07769
7854,R07770
7855,R07771
7856,R07772
7858,R07773
7859,R07774
7860,R07775
7861,R07776
7862,R07777
7863,R07778
7864,R07779
7865,R07780
7866,R07781
7867,R07786
7868,R07787
7869,R07791
7870,R07792
7871,R07795
7873,R07797
7874,R07798
7885,R07815
7895,R07827
7896,R07830
7900,R07840
7901,R07850
7902,R07851
7903,R07854
7905,R07856
7906,R07859
7914,R07863
7915,R07864
7916,R07865
7917,R07867
7918,R07869
7919,R07873
7920,R07874
7921,R07876
7922,R07877
7923,R07878
7924,R07879
7925,R07880
7926,R07882
7927,R07883
7929,R07889
7930,R07889
7931,R07889
7932,R07889
7933,R07890
7934,R07890
7935,R07890
7936,R07891
7938,R07893
7939,R07893
7940,R07893
7941,R07893
7942,R07894
7943,R07894
7944,R07894
7945,R07895
7947,R07897
7948,R07897
7949,R07897
7950,R07897
7951,R07898
7952,R07898
7953,R07898
7954,R07899
7955,R07910
7956,R07911
7957,R07912
7958,R07913
7959,R07913
7960,R07914
7961,R07916
7962,R07917
7964,R07919
7965,R07919
7966,R07920
7967,R07921
7968,R07923
7969,R07926
7970,R07927
7971,R07928
7972,R07929
7973,R07930
7974,R07931
7975,R07932
7976,R07933
7978,R07935
7979,R07935
7980,R07935
7982,R07935
7983,R07936
7984,R07936
7985,R07937
7986,R07938
7987,R07939
7989,R07940
7990,R07942
7991,R07942
7993,R07944
7995,R07946
7997,R07951
7998,R07951
7999,R07951
8001,R07951
8002,R07952
8003,R07952
8004,R07953
8005,R07954
8006,R07955
