,rn
1254,R00949
1255,R00951
1256,R00952
1257,R00953
1258,R00954
1259,R00955
1260,R00956
1261,R00957
1262,R00959
1263,R00959
1264,R00959
1265,R00959
1266,R00960
1267,R00961
1268,R00961
1269,R00961
1270,R00961
1271,R00962
1272,R00963
1273,R00963
1274,R00963
1275,R00963
1276,R00964
1277,R00965
1278,R00965
1279,R00966
1280,R00967
1281,R00968
1282,R00969
1283,R00970
1284,R00973
1285,R00974
1287,R00976
1288,R00977
1289,R00978
1290,R00980
1292,R00983
1293,R00984
1294,R00985
1295,R00985
1296,R00985
1297,R00985
1298,R00986
1299,R00986
1300,R00986
1301,R00986
1303,R00988
1304,R00989
1305,R00990
1306,R00994
1307,R00995
1308,R00996
1309,R00996
1312,R00999
1313,R01000
1314,R01001
1315,R01001
1316,R01003
1317,R01004
1318,R01005
1319,R01006
1320,R01007
1321,R01008
1322,R01009
1323,R01010
1324,R01010
1325,R01011
1326,R01012
1327,R01013
1328,R01014
1329,R01015
1330,R01016
1331,R01018
1333,R01021
1334,R01021
1335,R01022
1336,R01023
1337,R01025
1340,R01027
1343,R01030
1344,R01030
1346,R01033
1347,R01034
1348,R01036
1349,R01036
1350,R01039
1351,R01041
1352,R01041
1353,R01041
1354,R01041
1355,R01043
1356,R01044
1357,R01045
1358,R01047
1359,R01048
1361,R01050
1362,R01051
1363,R01052
1364,R01053
1365,R01054
1366,R01054
1367,R01054
1368,R01054
1369,R01054
1370,R01054
1371,R01055
1372,R01055
1373,R01056
1374,R01057
1375,R01057
1376,R01057
1377,R01058
1378,R01058
1379,R01059
1380,R01061
1381,R01061
1382,R01063
1383,R01063
1384,R01064
1385,R01064
1386,R01066
1390,R01068
1391,R01068
1392,R01069
1395,R01070
1396,R01070
1397,R01071
1398,R01072
1399,R01073
1400,R01073
1401,R01074
1403,R01074
1404,R01074
1405,R01074
1406,R01074
1408,R01076
1409,R01077
1410,R01078
1411,R01079
1413,R01081
1414,R01082
1418,R01086
1421,R01088
1422,R01089
1426,R01091
1427,R01092
1428,R01093
1429,R01094
1430,R01095
1431,R01096
1432,R01096
1433,R01096
1434,R01096
1435,R01097
1436,R01097
1437,R01098
1438,R01099
1445,R01106
1446,R01108
1451,R01115
1452,R01117
1453,R01121
1454,R01122
1455,R01123
1456,R01126
1457,R01126
1458,R01126
1459,R01126
1461,R01127
1463,R01130
1464,R01131
1465,R01132
1466,R01132
1467,R01134
1468,R01135
1471,R01138
1472,R01139
1473,R01140
1474,R01142
1475,R01143
1484,R01152
1485,R01153
1486,R01154
1489,R01156
1490,R01157
1491,R01158
1492,R01158
1493,R01158
1494,R01160
1496,R01163
1497,R01163
1498,R01163
1500,R01166
1501,R01166
1502,R01167
1503,R01167
1504,R01168
1505,R01169
1506,R01171
1507,R01171
1508,R01172
1509,R01172
1510,R01172
1511,R01172
1512,R01173
1513,R01174
1517,R01175
1519,R01177
1520,R01177
1525,R01181
1526,R01183
1527,R01183
1528,R01184
1529,R01185
1530,R01185
1531,R01185
1532,R01185
1533,R01186
1534,R01186
1535,R01186
1536,R01186
1537,R01187
1538,R01187
1539,R01187
1540,R01187
1541,R01188
1542,R01189
1543,R01190
1544,R01192
1545,R01193
1547,R01195
1548,R01196
1549,R01197
1550,R01199
1551,R01200
1552,R01201
1553,R01202
1554,R01203
1555,R01204
1556,R01205
1559,R01207
1560,R01209
1561,R01210
1562,R01211
1563,R01212
1564,R01212
1571,R01216
1572,R01217
1574,R01218
1576,R01220
1577,R01220
1579,R01221
1584,R01227
1585,R01227
1586,R01227
1587,R01227
1588,R01228
1589,R01229
1590,R01229
1591,R01229
1592,R01229
1595,R01232
1596,R01233
1597,R01234
1598,R01234
1599,R01235
1600,R01236
1602,R01238
1603,R01239
1604,R01240
1606,R01242
1608,R01244
1619,R01252
1620,R01253
1621,R01253
1624,R01257
1625,R01258
1632,R01263
1633,R01264
1637,R01267
1638,R01268
1639,R01269
1641,R01271
1644,R01274
1645,R01274
1646,R01277
1647,R01278
1648,R01278
1654,R01281
1655,R01283
1656,R01283
1657,R01286
1658,R01287
1659,R01288
1660,R01289
1661,R01290
1662,R01290
1663,R01290
1664,R01291
1666,R01293
1667,R01293
1668,R01294
1669,R01295
1670,R01296
1671,R01297
1672,R01298
1673,R01298
1674,R01299
1677,R01301
1678,R01302
1679,R01302
1680,R01304
1681,R01305
1682,R01306
1683,R01307
1688,R01310
1689,R01312
1692,R01315
1700,R01317
1706,R01318
1707,R01318
1708,R01318
1709,R01319
1710,R01320
1711,R01320
1712,R01320
1713,R01321
1714,R01321
1717,R01324
1718,R01324
1719,R01325
1720,R01325
1721,R01326
1722,R01326
1723,R01327
1724,R01328
1726,R01330
1731,R01333
1732,R01333
1733,R01334
1734,R01334
1736,R01337
1737,R01338
1739,R01341
1744,R01347
1747,R01348
1748,R01349
1756,R01355
1758,R01358
1761,R01360
1762,R01361
1766,R01366
1767,R01367
1768,R01368
1772,R01370
1773,R01370
1774,R01371
1775,R01371
1776,R01372
1777,R01373
1778,R01373
1779,R01373
1783,R01377
1785,R01381
1786,R01381
1787,R01383
1788,R01384
1789,R01385
1790,R01387
1791,R01388
1792,R01388
1793,R01388
1794,R01388
1795,R01392
1796,R01392
1797,R01393
1798,R01394
1801,R01395
1805,R01397
1812,R01402
1813,R01403
1814,R01404
1815,R01404
1816,R01404
1817,R01404
1818,R01404
1819,R01404
1820,R01406
1823,R01408
1824,R01409
1825,R01409
1826,R01409
1827,R01411
1828,R01412
1829,R01413
1830,R01414
1831,R01415
1832,R01416
1834,R01418
1835,R01419
1836,R01420
1837,R01421
