ec	rxn
1.4.1.9	R00146
1.4.1.10	R00146
1.4.1.12	R00146
1.4.1.15	R00146
1.4.1.19	R00146
1.4.1.20	R00146
1.14.18.3	R00148
1.14.99.39	R00148
6.3.4.16	R00149
2.7.2.2	R00150
1.18.6.1	R00153
3.6.1.5	R00155
3.6.1.6	R00155
2.7.4.3	R00156
2.7.4.6	R00156
2.7.4.10	R00157
2.7.4.4	R00158
2.7.4.14	R00158
2.7.4.22	R00158
6.3.2.1	R00158
3.6.1.5	R00159
3.6.1.39	R00159
3.1.4.1	R00160
3.6.1.9	R00160
3.6.1.13	R00160
3.6.1.18	R00160
2.7.1.26	R00161
2.7.7.2	R00161
2.7.11.1	R00162
2.7.11.8	R00162
2.7.11.9	R00162
2.7.11.10	R00162
2.7.11.11	R00162
2.7.11.12	R00162
2.7.11.13	R00162
2.7.11.17	R00162
2.7.11.21	R00162
2.7.11.22	R00162
2.7.11.24	R00162
2.7.11.25	R00162
2.7.11.30	R00162
2.7.12.1	R00162
2.7.12.2	R00162
3.1.3.16	R00164
3.1.3.74	R00173
2.7.1.35	R00174
3.3.1.2	R00175
2.5.1.6	R00177
4.1.1.50	R00178
4.4.1.14	R00179
2.5.1.4	R00180
3.5.4.6	R00181
3.5.4.17	R00181
3.2.2.4	R00182
3.1.3.5	R00183
3.1.3.6	R00183
3.1.4.16	R00183
3.6.1.45	R00183
3.6.1.17	R00184
3.6.1.61	R00184
2.7.1.20	R00185
2.7.1.74	R00185
2.7.1.76	R00185
3.6.1.29	R00187
3.1.3.7	R00188
6.3.1.5	R00189
6.3.5.1	R00189
2.4.2.7	R00190
2.4.2.8	R00190
3.1.4.17	R00191
3.1.4.35	R00191
3.1.4.53	R00191
3.3.1.1	R00192
3.5.4.28	R00193
3.2.2.9	R00194
3.2.2.30	R00194
4.3.1.15	R00195
1.1.2.3	R00196
1.1.2.4	R00197
1.1.2.5	R00198
2.7.9.2	R00199
2.7.1.40	R00200
1.2.1.21	R00203
1.2.1.22	R00203
1.2.1.23	R00203
1.2.1.49	R00205
2.7.9.1	R00206
1.2.3.3	R00207
3.1.3.60	R00208
1.2.4.1	R00209
1.8.1.4	R00209
2.3.1.12	R00209
1.2.1.51	R00210
1.2.3.6	R00211
2.3.1.54	R00212
4.3.1.13	R00213
1.1.1.38	R00214
1.1.1.39	R00214
1.1.1.83	R00215
1.1.1.93	R00215
4.1.1.73	R00215
1.1.1.40	R00216
1.1.1.38	R00217
1.1.1.40	R00217
4.1.1.3	R00217
4.1.1.78	R00218
4.3.1.17	R00220
4.3.1.19	R00220
4.3.1.18	R00221
4.3.1.15	R00223
4.1.1.1	R00224
2.2.1.6	R00226
3.1.2.1	R00227
1.1.1.1	R00228
1.2.1.10	R00228
1.2.1.87	R00228
6.2.1.13	R00229
2.3.1.8	R00230
4.1.1.9	R00233
2.3.1.88	R00234
6.2.1.1	R00235
6.2.1.1	R00236
4.1.3.24	R00237
4.1.3.25	R00237
2.3.1.9	R00238
1.2.1.41	R00239
2.7.2.11	R00239
2.7.2.13	R00241
1.4.1.2	R00243
1.4.1.3	R00243
