rxns,metal
R02160,fe
R02161,fe
R02163,fe
R02164,fe
R02165,fe
R02166,fe
R02222,fe
R02252,fe
R02277,fe
R02365,fe
R02397,fe
R02444,fe
R02445,fe
R02450,fe
R02451,fe
R02467,fe
R02509,fe
R02519,fe
R02521,fe
R02584,fe
R02596,fe
R02656,fe
R02665,fe
R02670,fe
R02681,fe
R02802,fe
R02827,fe
R02864,fe
R02965,fe
R02968,fe
R03009,fe
R03025,fe
R03031,fe
R03069,fe
R03126,fe
R03161,fe
R03165,fe
R03194,fe
R03218,fe
R03219,fe
R03253,fe
R03303,fe
R03306,fe
R03376,fe
R03380,fe
R03451,fe
R03462,fe
R03466,fe
R03532,fe
R03543,fe
R03549,fe
R03550,fe
R03559,fe
R03590,fe
R03599,fe
R03600,fe
R03626,fe
R03630,fe
R03640,fe
R03683,fe
R03698,fe
R03728,fe
R03737,fe
R03763,fe
R03764,fe
R03794,fe
R03806,fe
R03807,fe
R03812,fe
R03814,fe
R03891,fe
R03896,fe
R03898,fe
R03919,fe
R03947,fe
R03950,fe
R03968,fe
R04001,fe
R04007,fe
R04015,fe
R04044,fe
R04061,fe
R04073,fe
R04102,fe
R04117,fe
R04258,fe
R04280,fe
R04292,fe
R04294,fe
R04376,fe
R04392,fe
R04425,fe
R04433,fe
R04455,fe
R04461,fe
R04491,fe
R04597,fe
R04602,fe
R04710,fe
R04731,fe
R04782,fe
R04927,fe
R05039,fe
R05097,fe
R05126,fe
R05127,fe
R05144,fe
R05158,fe
R05183,fe
R05185,fe
R05186,fe
R05202,fe
R05217,fe
R05229,fe
R05245,fe
R05246,fe
R05261,fe
R05262,fe
R05263,fe
R05264,fe
R05290,fe
R05291,fe
R05299,fe
R05316,fe
R05318,fe
R05405,fe
R05414,fe
R05422,fe
R05423,fe
R05424,fe
R05425,fe
R05426,fe
R05427,fe
R05428,fe
R05466,fe
R05468,fe
R05469,fe
R05496,fe
R05499,fe
R05500,fe
R05501,fe
R05621,fe
R05622,fe
R05665,fe
R05721,fe
R05722,fe
R05739,fe
R05740,fe
R05743,fe
R05753,fe
R05778,fe
R05857,fe
R05884,fe
R06131,fe
R06244,fe
R06246,fe
R06247,fe
R06282,fe
R06312,fe
R06313,fe
R06314,fe
R06315,fe
R06322,fe
R06323,fe
R06326,fe
R06336,fe
R06539,fe
R06551,fe
R06632,fe
R06788,fe
R06833,fe
R06839,fe
R06909,fe
R06930,fe
R06937,fe
R06952,fe
R06953,fe
R07057,fe
R07063,fe
R07157,fe
R07158,fe
R07159,fe
R07160,fe
R07181,fe
R07182,fe
R07184,fe
R07185,fe
R07186,fe
R07187,fe
R07188,fe
R07211,fe
R07212,fe
R07213,fe
R07214,fe
R07218,fe
R07219,fe
R07221,fe
R07222,fe
R07229,fe
R07237,fe
R07238,fe
R07277,fe
R07294,fe
R07329,fe
R07363,fe
R07364,fe
R07365,fe
R07367,fe
R07368,fe
R07392,fe
R07393,fe
R07394,fe
R07395,fe
R07409,fe
R07443,fe
R07460,fe
R07633,fe
R07638,fe
R07657,fe
R07704,fe
R07709,fe
R07710,fe
R07767,fe
R07768,fe
R07827,fe
R07864,fe
R07869,fe
R07933,fe
R07939,fe
R07942,fe
R07954,fe
R07955,fe
R07956,fe
R07957,fe
R07958,fe
R07961,fe
R07962,fe
R07965,fe
R07966,fe
R07967,fe
R07968,fe
R07969,fe
R07970,fe
R07973,fe
R07974,fe
R07975,fe
R07976,fe
R07977,fe
R07978,fe
R07979,fe
R07984,fe
R07993,fe
R07996,fe
R07997,fe
R08034,fe
R08035,fe
R08081,fe
R08082,fe
R08100,fe
R08101,fe
R08108,fe
R08109,fe
R08110,fe
R08114,fe
R08115,fe
R08203,fe
R08204,fe
R08209,fe
R08210,fe
R08235,fe
R08363,fe
R08364,fe
R08433,fe
R08553,fe
R08566,fe
R08567,fe
R08571,fe
R08610,fe
R08611,fe
R08620,fe
R08624,fe
R08628,fe
R08634,fe
R08641,fe
R08645,fe
R08677,fe
R08678,fe
R08681,fe
