ec,cofactor
1.6.5.7,flavoprotein
1.6.5.8,fes_2Fe_2S
1.6.5.8,fe
1.6.5.8,fes
1.6.5.8,flavoprotein
1.6.5.9,flavoprotein
1.6.5.10,flavoprotein
1.6.99.1,flavoprotein
1.6.99.3,fe
1.6.99.3,fes
1.6.99.3,flavoprotein
1.7.1.1,fe
1.7.1.1,fes
1.7.1.1,flavoprotein
1.7.1.1,mo
1.7.1.2,fe
1.7.1.2,fes
1.7.1.2,flavoprotein
1.7.1.2,mo
1.7.1.3,fe
1.7.1.3,fes
1.7.1.3,flavoprotein
1.7.1.3,mo
1.7.1.4,heme
1.7.1.4,fe
1.7.1.4,fes
1.7.1.4,flavoprotein
1.7.1.14,heme
1.7.1.15,heme
1.7.1.15,fe
1.7.1.15,fes
1.7.1.15,flavoprotein
1.7.2.1,heme
1.7.2.1,cu
1.7.2.2,heme
1.7.2.5,heme
1.7.2.5,fe
1.7.2.6,heme
1.7.3.1,flavoprotein
1.7.3.5,flavoprotein
1.7.3.6,fe
1.7.5.1,heme
1.7.5.1,fe
1.7.5.1,fes
1.7.5.1,pterin
1.7.5.2,cu
1.7.6.1,heme
1.7.7.1,heme
1.7.7.1,fes_4Fe_4S
1.7.7.1,fe
1.7.7.2,fe
1.7.7.2,fes
1.7.7.2,mo
1.7.99.1,flavoprotein
1.7.99.4,fe
1.7.99.4,mo
1.8.1.2,heme
1.8.1.2,fes_4Fe_4S
1.8.1.2,flavoprotein
1.8.1.3,heme
1.8.1.4,flavoprotein
1.8.1.7,flavoprotein
1.8.1.9,flavoprotein
1.8.1.10,flavoprotein
1.8.1.12,flavoprotein
1.8.1.13,flavoprotein
1.8.1.14,flavoprotein
1.8.1.15,flavoprotein
1.8.1.16,flavoprotein
1.8.1.18,flavoprotein
1.8.1.19,fe
1.8.1.19,fes
1.8.1.19,flavoprotein
1.8.2.3,heme
1.8.2.3,flavoprotein
1.8.2.4,heme
1.8.2.4,fes_4Fe_4S
1.8.2.4,pterin
1.8.3.1,heme
1.8.3.3,flavoprotein
1.8.3.5,flavoprotein
1.8.3.6,flavoprotein
1.8.4.12,zn
1.8.5.3,fes_4Fe_4S
1.8.5.3,pterin
1.8.7.1,fe
1.8.7.2,fes_4Fe_4S
1.8.98.1,heme
1.8.98.1,fes_4Fe_4S
1.8.99.2,fe
1.8.99.2,flavoprotein
1.8.99.3,heme
1.8.99.3,fe
1.8.99.3,fes
1.9.3.1,cu
1.9.98.1,fe
1.10.2.2,fe
1.10.3.1,cu
1.10.3.2,cu
1.10.3.3,cu
1.10.3.4,cu
1.10.3.4,mn
1.10.3.4,flavoprotein
1.10.3.9,heme
1.10.3.9,fe
1.10.3.10,heme
1.10.3.10,cu
1.10.3.11,fe
1.10.3.12,heme
1.10.3.12,cu
1.10.3.13,cu
1.10.3.15,cu
1.10.5.1,flavoprotein
1.10.9.1,fes_2Fe_2S
1.11.1.1,flavoprotein
1.11.1.5,heme
1.11.1.6,heme
1.11.1.6,mn
1.11.1.7,heme
1.11.1.7,fe
1.11.1.10,heme
1.11.1.11,heme
1.11.1.13,heme
1.11.1.14,heme
1.11.1.14,fe
1.11.1.16,heme
1.11.1.19,heme
1.11.1.21,heme
1.11.1.23,fe
1.11.2.1,heme
1.11.2.2,heme
1.11.2.3,heme
1.11.2.4,heme
1.11.2.5,heme
1.12.1.2,ni
1.12.1.2,fe
1.12.1.2,fes
1.12.1.2,flavoprotein
1.12.1.3,ni
1.12.1.3,fe
1.12.1.3,fes
1.12.1.4,fe
1.12.1.4,fes_FeFe
1.12.1.4,fes
1.12.1.5,ni
1.12.1.5,fe
1.12.1.5,fes
1.12.2.1,ni
1.12.2.1,fe
1.12.2.1,fes
1.12.5.1,ni
1.12.5.1,fe
1.12.5.1,fes
1.12.7.2,ni
1.12.7.2,fe
1.12.7.2,fes
1.12.98.1,ni
1.12.98.1,fe
1.12.98.1,fes
1.12.98.1,flavoprotein
1.12.98.3,ni
1.12.98.3,fe
1.12.98.3,fes
1.12.98.4,fe
1.12.98.4,fes
1.12.99.6,ni
1.12.99.6,fe
1.12.99.6,fes
1.13.11.1,fe
1.13.11.3,fe
1.13.11.4,fe
1.13.11.5,fe
1.13.11.6,fe
1.13.11.8,fe
1.13.11.9,fe
1.13.11.10,fe
1.13.11.11,heme
1.13.11.12,heme
1.13.11.12,fe
1.13.11.15,fe
1.13.11.16,fe
1.13.11.17,cu
1.13.11.17,flavoprotein
1.13.11.18,fe
1.13.11.19,fe
1.13.11.20,fe
1.13.11.24,cu
1.13.11.24,fe
1.13.11.25,fe
1.13.11.27,cu
1.13.11.27,fe
1.13.11.29,zn
1.13.11.30,zn
1.13.11.36,fe
1.13.11.37,fe
1.13.11.38,fe
1.13.11.39,fe
1.13.11.39,mn
1.13.11.43,fe
1.13.11.45,mn
1.13.11.46,fe
1.13.11.49,heme
1.13.11.49,fe
1.13.11.51,fe
1.13.11.52,heme
1.13.11.53,ni
1.13.11.54,fe
1.13.11.55,heme
1.13.11.55,fe
1.13.11.56,fe
1.13.11.57,fe
1.13.11.58,heme
1.13.11.58,fe
1.13.11.60,heme
1.13.11.63,fe
1.13.11.66,fe
1.13.11.68,fe
1.13.11.69,fe
1.13.11.70,fe
1.13.11.71,fe
1.13.11.74,fe
1.13.11.75,fe
1.13.11.76,fe
1.13.11.77,fe
1.13.11.78,fe
1.13.12.1,flavoprotein
1.13.12.2,flavoprotein
1.13.12.4,flavoprotein
1.13.12.16,flavoprotein
1.13.99.1,fe
1.13.99.3,heme
1.14.11.1,fe
1.14.11.2,fe
1.14.11.4,fe
1.14.11.6,fe
1.14.11.7,fe
1.14.11.8,fe
1.14.11.9,fe
1.14.11.11,fe
1.14.11.12,fe
1.14.11.14,fe
1.14.11.15,fe
1.14.11.16,fe
1.14.11.18,fe
1.14.11.20,fe
1.14.11.21,fe
1.14.11.22,fe
1.14.11.23,fe
1.14.11.24,fe
1.14.11.25,fe
1.14.11.26,fe
1.14.11.27,fe
1.14.11.28,fe
1.14.11.31,fe
1.14.11.32,fe
1.14.11.37,fe
1.14.11.38,fe
1.14.11.39,fe
1.14.11.40,fe
1.14.11.41,fe
1.14.11.42,fe
1.14.11.43,fe
1.14.11.44,fe
1.14.11.46,fe
1.14.11.48,fe
1.14.12.1,fe
1.14.12.3,fe
1.14.12.3,fes
1.14.12.3,flavoprotein
1.14.12.4,flavoprotein
1.14.12.5,flavoprotein
1.14.12.7,fe
1.14.12.7,fes
1.14.12.7,flavoprotein
1.14.12.8,fe
1.14.12.8,fes
1.14.12.8,flavoprotein
1.14.12.9,fe
1.14.12.9,fes
1.14.12.10,fe
1.14.12.10,fes
1.14.12.10,flavoprotein
1.14.12.11,fe
1.14.12.11,fes
1.14.12.11,flavoprotein
1.14.12.12,fe
1.14.12.12,fes
1.14.12.12,flavoprotein
1.14.12.13,flavoprotein
1.14.12.15,fes_2Fe_2S
1.14.12.17,heme
1.14.12.17,flavoprotein
1.14.12.18,fes_2Fe_2S
1.14.12.18,fe
1.14.12.18,fes
1.14.12.18,flavoprotein
1.14.12.20,fe
1.14.12.20,fes
1.14.12.21,fe
1.14.12.21,fes
1.14.12.21,flavoprotein
1.14.12.22,fes_2Fe_2S
1.14.12.22,fe
1.14.12.22,fes
1.14.13.1,flavoprotein
1.14.13.2,flavoprotein
1.14.13.4,flavoprotein
1.14.13.5,flavoprotein
1.14.13.6,flavoprotein
1.14.13.7,flavoprotein
1.14.13.8,flavoprotein
1.14.13.9,flavoprotein
1.14.13.10,flavoprotein
1.14.13.11,heme
1.14.13.12,fe
1.14.13.17,heme
1.14.13.18,flavoprotein
1.14.13.19,flavoprotein
1.14.13.20,flavoprotein
1.14.13.22,flavoprotein
1.14.13.23,flavoprotein
1.14.13.24,flavoprotein
1.14.13.27,flavoprotein
1.14.13.28,heme
1.14.13.29,flavoprotein
1.14.13.30,heme
1.14.13.32,flavoprotein
1.14.13.33,flavoprotein
1.14.13.35,fe
1.14.13.35,flavoprotein
1.14.13.37,heme
1.14.13.39,heme
1.14.13.39,fe
1.14.13.39,flavoprotein
1.14.13.39,pterin
1.14.13.40,flavoprotein
1.14.13.41,heme
1.14.13.47,heme
1.14.13.48,heme
1.14.13.49,heme
1.14.13.50,flavoprotein
1.14.13.52,heme
1.14.13.53,heme
1.14.13.54,flavoprotein
1.14.13.55,heme
1.14.13.56,heme
1.14.13.57,heme
1.14.13.58,flavoprotein
1.14.13.59,flavoprotein
1.14.13.61,fe
1.14.13.64,flavoprotein
1.14.13.70,heme
