,rn,rule
14749,R01870_v2,2002_7573
15057,R02142_v1,7573
16574,R04378_v1,7573
486,R01127,2492_7543
514,R01397,101_2002_2003_2007_206_2487_7543
669,R04560,2492_7543
2779,R01016,7543
12754,R00149_v1,101_2003_2007_206_2487_7543
12932,R00256_v1,101_2003_2007_206_2487_7543
12933,R00256_v1,101_2002_2003_2007_206_2487_7543
12937,R00256_v2,101_2003_2007_206_2487_7543
12938,R00256_v2,101_2002_2003_2007_206_2487_7543
13351,R00575_v1,101_2003_2007_206_2487_7543
13352,R00575_v1,101_2002_2003_2007_206_2487_7543
13353,R00575_v2,101_2003_2007_206_2487_7543
13354,R00575_v2,101_2002_2003_2007_206_2487_7543
14367,R01395_v1,101_2003_2007_206_2487_7543
14368,R01395_v1,101_2002_2003_2007_206_2487_7543
14370,R01395_v2,101_2003_2007_206_2487_7543
14371,R01395_v2,101_2002_2003_2007_206_2487_7543
14848,R01993_v1,101_2002_2003_2007_206_2487_7543
14851,R01993_v2,101_2002_2003_2007_206_2487_7543
18135,R07641_v1,101_2003_2007_206_2487_7543
18136,R07641_v1,101_2002_2003_2007_206_2487_7543
18137,R07641_v2,101_2003_2007_206_2487_7543
18138,R07641_v2,101_2002_2003_2007_206_2487_7543
19702,R10948_v1,101_2003_2007_206_2487_7543
19703,R10948_v1,101_2002_2003_2007_206_2487_7543
19704,R10948_v2,101_2003_2007_206_2487_7543
19705,R10948_v2,101_2002_2003_2007_206_2487_7543
19706,R10949_v1,101_2003_2007_206_2487_7543
19707,R10949_v1,101_2002_2003_2007_206_2487_7543
19708,R10949_v2,101_2003_2007_206_2487_7543
19709,R10949_v2,101_2002_2003_2007_206_2487_7543
2938,R11861,810
6243,R00005,10_2003_206_306_325_75_7552_810
6244,R00005,7552_810
13610,R00774_v1,10_2003_206_306_325_75_7552_810
15610,R02743_v1,810
16256,R03749_v1,810
1056,R01373,164_304_7523_64
1059,R01728,129_164_64
1060,R01728,164_2003_64
1061,R01728,164_64
1781,R04231,2003_7564_64
3939,R12596,206_3264_64
5933,R12598,206_3264_64
7857,R06602,164_64
10077,R12491,164_64
12647,R00089_v1,4035_4036_4054_64
12655,R00089_v2,4035_4036_4054_64
12663,R00089_v3,4035_4036_4054_64
13134,R00434_v1,4035_4036_4054_64
13144,R00434_v2,4035_4036_4054_64
13154,R00434_v3,4035_4036_4054_64
