,rn,rule
420,R00742,109_2003_2008_206_2486_325_3794
421,R00742,2003_206_2486_325
422,R00750,2002
423,R00750,103_2002
424,R00783,3156
425,R00783,107_5
426,R00785,3156
427,R00785,107_5
428,R00787,101_2003_296_304_4294_66
429,R00787,2003_296_304_4294_66
430,R00787,2003_4294_66
431,R00787,101_2003_296_304_4294
432,R00798,1_1001_2003_205_5069
433,R00798,1_1001_139_2003
434,R00798,1_1001_2003
435,R00798,1_1001_101_2003
436,R00798,2003
437,R00798,101_2003
438,R00823,2003_243_244_331_4294_66
439,R00823,1_221_243_331_4294_66_7514
440,R00825,2003_243_244_331_4294_66
441,R00825,1_221_243_331_4294_66_7514
442,R00829,7581
443,R00833,2002_2007
444,R00833,2002
445,R00858,1_187_296_304_7514
446,R00858,1_296_304_629_7514
447,R00858,1_296_304_7514
448,R00858,1_205_296_304_7514
449,R00861,205_296_304
450,R00894,2003_206
451,R00894,2002_321
452,R00894,321
453,R00905,2011_304
454,R00905,246
455,R00905,304
456,R00918,2003_2007_222_236_304_6051_6094_7579_7581
457,R00918,2003_2007_222_236_304_6094_7579_7581
458,R00919,2003_236
459,R00919,2003_236_2486_327_4011_7584
460,R00934,2002
461,R00943,2003_2004_2007
462,R00943,2004
463,R00943,2003_2004_2007_3654
464,R00965,2002
465,R00965,2002_7573
466,R00977,187_2002_2003_205
467,R00977,187_2002_2003
468,R00982,327_4011_7584
469,R00985,2002_2007
470,R00985,2007_880
471,R00985,2007_7544
472,R00985,184_2007_7544
473,R00986,2002_2007
474,R00986,2007_880
475,R00986,2007_7544
476,R00986,184_2007_7544
477,R00996,2003_304
478,R00996,2003
479,R01071,304_7523
480,R01071,7523
481,R01073,2007_7544
482,R01073,184_7544
483,R01073,184_2007_7544
484,R01082,4952_4953_602
485,R01082,2485_2487
486,R01127,2492_7543
487,R01127,210
488,R01142,1_150_221_304_640_7514
489,R01146,582
490,R01163,159_239_7524
491,R01163,7524
492,R01196,2004_205_7522_7574
493,R01196,2004_7574
494,R01196,2004_7522_7574
495,R01197,2004_205_7522_7574
496,R01197,2004_205_7574
497,R01220,2003_2004_2007
498,R01220,2003_2007
499,R01220,2003_2004_2007_3654
500,R01220,2007
501,R01221,1_2003_244_3016_304_325_7577
502,R01256,2003_2007_206
503,R01302,301
504,R01302,814
505,R01322,2003_2007_206
506,R01324,109_2487_7542
507,R01324,2487_7542
508,R01325,109_2487_7542
509,R01325,2487_7542
510,R01334,2006
511,R01388,2003
512,R01397,2003_304_375
513,R01397,2003
514,R01397,101_2002_2003_2007_206_2487_7543
515,R01540,70
516,R01541,2002
517,R01624,132_2002_2007_222_304_3323_7581
518,R01624,132_2002_2007_222_304_3321_3323_7581
519,R01624,2003_2007_222_236_304_6094_7581
520,R01624,2002_2007_222_304_3321_3322_3323
521,R01626,2007_304
522,R01626,2002_2007_222_304_3321_3322_3323
523,R01626,132_2002_2007_222_304_3323_7581
524,R01626,2003_2007_222_236_304_6094_7581
525,R01626,132_2002_2007_222_304_3321_3323_7581
526,R01626,2007
527,R01655,2003_2004_2007
528,R01655,2003_2007
529,R01655,2003_2004_2007_3654
530,R01655,133
531,R01700,323_7522_7574
532,R01700,7522_7574
533,R01859,2003_206_2486_325_3794
534,R01859,2003_206_2486_325
535,R01870,7573
536,R01870,2002_7573
537,R01900,109_2487_7542
538,R01900,2487_7542
539,R01933,2003_244_323_325_7522_7574
540,R01933,147_2003_244_323_325_7522_7574
541,R01934,7510
542,R01939,3016_7577
543,R01975,129_2003_2486
544,R01975,129_2003
545,R01993,2002_65
546,R01993,2002
547,R01993,101_2002_2003_2007_206_2487_7543
548,R02024,150_2500
549,R02024,103_1074_150_2500
550,R02085,2486
551,R02103,179_217_231_244_325
552,R02106,230
553,R02106,230_4110
554,R02110,11_2002
555,R02110,2002_632
556,R02110,11_12_2002
557,R02164,187_221_278_5069_604
558,R02164,187_221_5069_604
559,R02326,2004
560,R02326,304
561,R02421,7512
562,R02425,2002_65
563,R02425,2002
564,R02451,2007_2484
565,R02550,1_150_221_304_4294_66_7514
