276 1.1.1.130|1.1.1.237|1.1.1.27|1.1.1.337|1.1.1.350|1.1.1.37|1.4.1.17|1.5.1.21
277 2.7.1.154|2.7.11.1
11_3544_5090_6072_67 3.4.21.91|3.6.1.15|3.6.4.13
2004_2493_7570 6.3.2.10|6.3.2.13|6.3.2.37|6.3.2.7
2003_244_6058 1.1.3.21|1.1.5.3
103_2002_2003_206_325_3794 6.4.1.1
2003_205_244 1.5.5.1
2004_2006_73 2.7.1.78|3.1.3.32
101_148_2004 3.6.1.15|3.6.4.12
102_2_872 2.7.7.6
2003_244_375 1.14.-.-
2486_3694_5_7 3.4.21.-
2003_304_4967 2.1.1.56|2.1.1.57|2.7.7.48|3.4.21.91|3.6.1.15|3.6.4.13
101_7592 4.6.1.-
223_304 2.7.13.3|2.7.7.65
206_7113_PDBChainNotFound 2.7.11.1
296_304 1.7.7.1|1.8.1.2|1.8.7.1
197_220_221 2.7.10.2
7523_PDBChainNotFound 3.4.21.-
108 1.11.1.-|1.11.1.10|1.11.2.1|1.13.12.5|1.6.3.-|2.7.1.-|2.7.1.107|2.7.11.1|2.7.11.17|3.1.3.16|3.2.1.176|3.2.1.4|3.2.1.8|3.2.1.91|3.4.22.-|3.4.22.54|4.6.1.2|5.99.1.2
109 1.11.1.7|1.14.11.2|1.14.99.29|2.1.1.-|2.3.1.225|2.3.2.-|2.3.2.27|2.4.1.255|2.4.2.30|2.5.1.-|2.5.1.18|2.5.1.58|2.5.1.59|2.5.1.60|2.7.11.1|2.7.11.20|2.7.12.1|2.7.7.-|2.7.7.7|3.1.-.-|3.1.26.-|3.1.3.16|3.1.3.48|3.2.1.-|3.2.1.101|3.2.1.113|3.2.1.156|3.2.1.172|3.2.1.176|3.2.1.179|3.2.1.180|3.2.1.205|3.2.1.208|3.2.1.26|3.2.1.28|3.2.1.3|3.2.1.4|3.2.1.71|3.2.1.73|3.2.1.91|3.2.2.-|3.4.-.-|3.4.19.12|3.4.21.-|3.4.21.43|3.4.24.-|3.5.1.2|3.5.1.45|3.5.2.6|3.6.-.-|3.6.1.34|3.6.4.-|4.-.-.-|4.2.1.127|4.2.1.129|4.2.2.2|4.2.2.3|5.1.3.11|5.1.3.8|5.2.1.8|5.3.1.31|5.3.1.8|5.4.4.4|5.4.99.17|5.4.99.7|6.1.1.10|6.1.1.15|6.1.1.17
2485_3009 1.8.4.-|1.8.4.2|2.5.1.18|5.3.4.1|5.99.1.4
