3518 7.2.1.1,7.-.-.-
1149_4974_601 3.1.-.-
108_11 3.2.1.4
1_309_314_613 6.1.1.7
3517 3.1.-.-
109_247_268 3.1.6.-
101_2003_2007_206_2487_7543 6.3.4.16
10_304 2.1.1.229
2007_225_605 2.7.13.3
1_275_4246_4951_4954_4958_4959 2.7.7.6
1_275_325_4246_4951_4954_4958_4959 2.7.7.6
102_2006_2484_304_4964_4970 2.7.7.7
3998 3.4.22.38,3.4.-.-,3.4.22.15
2_206 3.1.3.33,6.5.1.2,6.5.1.1,2.7.7.50,6.5.1.-
192_314 6.1.1.11,6.1.1.20
2_209 2.4.2.-
1175_246 2.3.1.269
3207 1.14.18.3,1.14.13.25
3204 2.3.1.21
2004_316 2.7.1.24
2003_2004_3962_4333 2.1.1.72
306_75 3.5.2.9
376_821 3.1.-.-
108_109_223_4019 3.5.1.2
2005_8002 6.1.1.-
235_5001 3.2.1.17
2005_246 6.3.5.1
206_214_4 2.7.10.2
148_2004_932 2.7.7.7
557 1.13.11.8
2003_219_3596_7529 2.7.7.19,3.6.1.15,3.6.4.13,3.1.3.33,3.1.3.84,2.7.7.48
2010_301 2.7.1.121,2.7.1.2
2004_884 3.6.-.-
11_219 2.3.2.13,3.4.19.12
2006_3012_604 3.1.3.12
10_109_11_2499_9 3.4.14.10
221_304 5.4.99.19,3.1.-.-,5.4.99.22,5.4.99.23,5.4.99.21
3349 2.7.7.7,3.1.11.1
4971 2.3.1.169
3374_3536 4.2.2.-
221_309 6.1.1.3
1197 2.3.1.275
3754 2.7.8.13
4344_7515 5.4.2.7
2003_304_3995_3996_4962_4963_4967 2.7.7.48,2.7.7.88,2.1.1.56,2.1.1.296
107_5013 7.1.1.8
316_3960 2.7.7.47
2006_267 7.2.2.9,7.2.2.8,3.6.3.10
1176 1.18.6.1
1_380 3.4.21.5
212_4008_7582 2.1.1.195
1_389 3.4.21.41,3.4.21.5,3.4.21.6,3.4.21.42,3.4.21.-,3.4.21.104
10_75 3.5.2.9,3.5.1.54
1003_2484_3819_3820_4012 3.1.-.-
130_2006_60 4.2.99.-,3.6.4.-
297_7580 4.1.99.12,3.5.4.25
2484_283 4.4.1.3,3.4.11.9,3.4.-.-,3.5.3.3,3.4.11.-,3.5.4.44,3.4.13.9,3.1.8.2,3.1.8.1,3.4.11.26
3838_640 2.7.7.n6,2.7.7.n1
3430 3.6.4.-
2003_3996 2.7.7.48,2.1.1.56
3621_7579 3.4.16.2,3.4.14.2
2007_304_3322 2.3.1.86,4.2.1.59,2.3.1.39,2.3.1.38,3.1.2.14,1.3.1.9
1_3687_7514 1.6.2.4,1.16.1.8,1.14.13.39,1.14.14.1,1.8.1.2
2002_3405 5.2.1.8,4.1.2.21
187_221 1.3.5.1,1.3.5.4
179_217_221_231_244_325 1.17.3.2,1.2.3.1,1.17.1.4
101_210 3.1.3.16
1_1054_2002_604 4.1.1.19
10_3280 2.4.2.-
4263 3.4.24.-
101_186 2.7.7.-,3.1.-.-
2002_7524 1.2.1.88,1.5.5.22
144_4091 3.-.-.-
2007_206 6.2.1.4,6.2.1.5,2.3.3.8,6.3.2.6,4.1.1.21
2002_2003_2007 4.2.1.10,4.2.3.4,2.5.1.19,2.7.1.71,1.1.1.25
2003_304_547 1.2.1.70
298_3464 3.6.3.14
1075_2004 3.6.3.49,5.6.1.6,3.6.3.43,3.6.3.44,3.4.22.-,7.6.2.-,7.6.2.2,7.6.2.3,7.6.2.1,3.6.3.39,7.5.2.6,7.5.2.5
2003_2007 1.4.1.20,1.4.1.-,1.1.1.25,1.1.1.24,1.4.1.3,1.4.1.2,1.4.1.4,1.4.1.9,2.7.7.80,1.6.5.2,6.2.1.13,1.4.1.19,1.1.1.38,1.1.1.39,2.8.1.11,3.5.4.9,1.1.1.282,2.1.3.2,2.1.3.6,6.2.1.4,6.2.1.5,6.3.4.3,1.5.1.5,2.3.3.8,1.5.1.15
2003_2004 6.3.2.8,6.3.2.45
102_2002_316_3584 2.7.7.7
108_206 2.7.1.-,2.7.11.17,2.7.11.1
3993_7578 4.7.1.1
3838 2.7.7.n6,2.7.7.n1
107_3156 1.7.2.1
4009_7583 3.1.3.-,2.1.1.-
109_148_2004_2485_6110 2.5.1.18
2498_5090 3.4.24.-
2484_297 6.1.2.2
2002_282 1.1.1.205
2002_284 3.2.1.96,3.2.-.-,3.2.1.14,3.2.1.52
102_3504_377 4.2.99.18,3.2.2.23
378 3.1.30.2,3.1.21.-,3.1.21.1,3.-.-.-,3.1.-.-,3.1.30.-,3.6.4.-
7520 3.1.2.-
7521 4.3.1.7,4.2.1.28,4.2.1.30
7527 3.6.1.11,3.1.3.5,3.1.3.6,2.8.3.16,2.8.3.-,2.8.3.19,5.1.99.4,2.8.3.21
7524 1.2.1.60,1.2.1.65,1.1.1.23,1.2.1.47,1.2.1.41,1.2.1.26,1.2.1.27,1.2.1.24,1.2.1.22,1.2.1.21,1.2.1.28,1.2.1.88,1.2.1.89,1.2.1.-,1.2.1.9,1.2.1.8,1.2.1.7,1.2.1.5,1.2.1.4,1.2.1.3,1.2.1.39,1.2.1.71,1.2.1.31,1.2.1.54,1.2.1.79,2.7.2.11,1.2.1.36,1.2.1.10,1.2.1.16,1.2.1.19,1.2.1.90,1.5.1.6,1.2.1.94,1.5.1.12
