,atlas_rn,rn
2047,AR2048,R01607
2049,AR2050,R01986
2066,AR2067,R05701
2068,AR2069,R07666
2071,AR2072,R10982
2075,AR2076,R02697
2077,AR2078,R03302
2078,AR2079,R03103
2079,AR2080,R04453
2081,AR2082,R04889
2084,AR2085,R07442
2086,AR2087,R04917
2093,AR2094,R00744
2097,AR2098,R05099
2107,AR2108,R05289
2110,AR2111,R08310
2113,AR2114,R00519
2114,AR2115,R02935
2124,AR2125,R00134
2125,AR2126,R02936
2132,AR2133,R01061
2506,AR2507,R09777
2507,AR2508,R10931
2509,AR2510,R01063
2511,AR2512,R02291
2513,AR2514,R03313
2514,AR2515,R03443
2884,AR2885,R00706
2897,AR2898,R08549
2898,AR2899,R01651
2903,AR2904,R01933
2905,AR2906,R00209
2906,AR2907,R01210
2909,AR2910,R03171
2942,AR2943,R00228
2951,AR2952,R03381
2952,AR2953,R09097
2953,AR2954,R01277
2958,AR2959,R01172
3000,AR3001,R09484
3007,AR3008,R03082
3042,AR3043,R09557
3049,AR3050,R09280
3051,AR3052,R09485
3052,AR3053,R00740
3054,AR3055,R02220
3058,AR3059,R01173
3059,AR3060,R01615
3060,AR3061,R00468
3061,AR3062,R01941
3063,AR3064,R02193
3065,AR3066,R02506
3079,AR3080,R10549
3092,AR3093,R04390
3107,AR3108,R06569
4423,AR4424,R00042
5494,AR5495,R08349
5531,AR5532,R02681
5533,AR5534,R00466
5535,AR5536,R00635
5538,AR5539,R01489
5541,AR5542,R01709
5544,AR5545,R03871
5545,AR5546,R02125
5553,AR5554,R11352
5555,AR5556,R08211
5614,AR5615,R02657
5617,AR5618,R04904
5621,AR5622,R00072
5653,AR5654,R10216
5656,AR5657,R05697
5672,AR5673,R06957
5677,AR5678,R06924
5680,AR5681,R10212
5690,AR5691,R07602
5691,AR5692,R07600
5692,AR5693,R07604
5695,AR5696,R07602
5696,AR5697,R07600
5697,AR5698,R07604
5698,AR5699,R03270
5699,AR5700,R03316
5718,AR5719,R03145
5769,AR5770,R04088
5772,AR5773,R04724
5777,AR5778,R05395
5791,AR5792,R04429
5792,AR5793,R04955
5793,AR5794,R04958
5794,AR5795,R04961
5795,AR5796,R04966
5796,AR5797,R04969
5804,AR5805,R02252
5812,AR5813,R05239
5813,AR5814,R05310
5818,AR5819,R05240
5819,AR5820,R05241
5917,AR5918,R06784
5919,AR5920,R06832
5925,AR5926,R06785
5926,AR5927,R06857
5929,AR5930,R06910
5943,AR5944,R06931
5993,AR5994,R07703
6003,AR6004,R07705
6020,AR6021,R09162
6032,AR6033,R08105
6045,AR6046,R09183
6047,AR6048,R09213
6051,AR6052,R09224
6052,AR6053,R09228
6053,AR6054,R09132
6093,AR6094,R10592
6095,AR6096,R03763
6107,AR6108,R05812
6109,AR6110,R01451
6111,AR6112,R05311
6113,AR6114,R10161
6114,AR6115,R01869
6116,AR6117,R03251
6122,AR6123,R03191
6123,AR6124,R01689
6127,AR6128,R01403
6136,AR6137,R00977
6139,AR6140,R00402
6144,AR6145,R03709
6149,AR6150,R02544
6151,AR6152,R02988
6154,AR6155,R01414
6160,AR6161,R01171
6189,AR6190,R04556
6193,AR6194,R04151
6195,AR6196,R05354
6196,AR6197,R05397
6204,AR6205,R05312
6205,AR6206,R05313
6220,AR6221,R03882
6221,AR6222,R07765
6222,AR6223,R00812
6240,AR6241,R01505
6243,AR6244,R04115
6246,AR6247,R05275
6253,AR6254,R04817
6254,AR6255,R04967
6258,AR6259,R05639
6259,AR6260,R03900
6260,AR6261,R04956
6261,AR6262,R04959
6265,AR6266,R04430
6271,AR6272,R04962
6277,AR6278,R04910
6278,AR6279,R04970
6281,AR6282,R05150
6285,AR6286,R06430
6288,AR6289,R05396
6373,AR6374,R06563
6388,AR6389,R06286
6390,AR6391,R06417
6472,AR6473,R07483
6473,AR6474,R07505
6474,AR6475,R07506
6477,AR6478,R07429
6478,AR6479,R07447
6496,AR6497,R07747
6508,AR6509,R08226
6538,AR6539,R08954
6544,AR6545,R09133
6566,AR6567,R10122
6568,AR6569,R10075
6569,AR6570,R10118
6576,AR6577,R10418
6577,AR6578,R10828
6579,AR6580,R10593
6581,AR6582,R03764
6593,AR6594,R09738
6601,AR6602,R05641
6607,AR6608,R02954
6610,AR6611,R07761
6612,AR6613,R00978
6618,AR6619,R01278
6620,AR6621,R01404
6622,AR6623,R01866
6625,AR6626,R03192
6626,AR6627,R01415
6631,AR6632,R06562
6635,AR6636,R01456
6636,AR6637,R10242
6638,AR6639,R06419
6640,AR6641,R02989
6645,AR6646,R03713
6650,AR6651,R00919
6655,AR6656,R03776
6658,AR6659,R02463
6660,AR6661,R03845
6661,AR6662,R06272
6666,AR6667,R04557
6683,AR6684,R02497
6687,AR6688,R03856
6688,AR6689,R03883
6692,AR6693,R03989
6696,AR6697,R03930
6698,AR6699,R02609
6702,AR6703,R04823
6703,AR6704,R06896
6706,AR6707,R02208
6712,AR6713,R03962
6713,AR6714,R02892
6717,AR6718,R02841
6718,AR6719,R00814
6720,AR6721,R03401
6722,AR6723,R07015
6725,AR6726,R04725
6726,AR6727,R06985
6727,AR6728,R03850
6729,AR6730,R04753
6737,AR6738,R01728
6738,AR6739,R00732
6739,AR6740,R01730
6740,AR6741,R00733
6741,AR6742,R05309
6742,AR6743,R05292
6743,AR6744,R05314
6744,AR6745,R08111
6745,AR6746,R08112
6746,AR6747,R08113
6750,AR6751,R01633
6751,AR6752,R00813
6761,AR6762,R05293
6766,AR6767,R05243
6800,AR6801,R04751
6801,AR6802,R04754
6808,AR6809,R06943
6809,AR6810,R07934
6810,AR6811,R07950
6811,AR6812,R07888
6812,AR6813,R07892
6813,AR6814,R07896
6814,AR6815,R08092
6819,AR6820,R11130
6824,AR6825,R01279
6825,AR6826,R03777
6826,AR6827,R03857
6828,AR6829,R01175
6829,AR6830,R03990
6832,AR6833,R03732
7057,AR7058,R00581
7062,AR7063,R00243
7068,AR7069,R07164
7071,AR7072,R01088
7075,AR7076,R01258
7077,AR7078,R00446
7086,AR7087,R02618
7090,AR7091,R00365
7091,AR7092,R00396
7092,AR7093,R00715
7093,AR7094,R02313
7115,AR7116,R00675
7116,AR7117,R00688
7117,AR7118,R09830
7122,AR7123,R01434
7140,AR7141,R02196
7181,AR7182,R03349
7183,AR7184,R01683
7201,AR7202,R00906
7250,AR7251,R00398
7280,AR7281,R00368
7287,AR7288,R04200
7296,AR7297,R00562
7316,AR7317,R04687
7358,AR7359,R04688
7559,AR7560,R09079
7560,AR7561,R09080
