rn,cid,s
AR5362,C03666,1
AR5362,C05941,1
AR5363,C00011,-2
AR5363,C01161,-1
AR5363,C03678,-1
AR5363,C00007,1
AR5363,C04045,1
AR5363,C05941,1
AR5364,C00011,-2
AR5364,C03678,-1
AR5364,C03761,-1
AR5364,C00007,1
AR5364,C04049,1
AR5364,C05941,1
AR5365,C00011,-2
AR5365,C00956,-1
AR5365,C03678,-1
AR5365,C00007,1
AR5365,C03871,1
AR5365,C05941,1
AR5366,C00011,-2
AR5366,C00417,-1
AR5366,C03678,-1
AR5366,C00007,1
AR5366,C04434,1
AR5366,C05941,1
AR5367,C00011,-2
AR5367,C00417,-1
AR5367,C03678,-1
AR5367,C00007,1
AR5367,C05364,1
AR5367,C05941,1
AR5368,C00011,-2
AR5368,C03678,-1
AR5368,C05655,-1
AR5368,C00007,1
AR5368,C05656,1
AR5368,C05941,1
AR5369,C00011,-2
AR5369,C00197,-2
AR5369,C06054,2
AR5369,C00007,1
AR5370,C00011,-2
AR5370,C00197,-1
AR5370,C02214,-1
AR5370,C00007,1
AR5370,C03453,1
AR5370,C06054,1
AR5371,C00011,-2
AR5371,C00197,-1
AR5371,C02501,-1
AR5371,C00007,1
AR5371,C03666,1
AR5371,C06054,1
AR5372,C00011,-2
AR5372,C00197,-1
AR5372,C01161,-1
AR5372,C00007,1
AR5372,C04045,1
AR5372,C06054,1
AR5373,C00011,-2
AR5373,C00197,-1
AR5373,C03761,-1
AR5373,C00007,1
AR5373,C04049,1
AR5373,C06054,1
AR5374,C00011,-2
AR5374,C00197,-1
AR5374,C00956,-1
AR5374,C00007,1
AR5374,C03871,1
AR5374,C06054,1
AR5375,C00011,-2
AR5375,C00197,-1
AR5375,C00417,-1
AR5375,C00007,1
AR5375,C04434,1
AR5375,C06054,1
AR5376,C00011,-2
AR5376,C00197,-1
AR5376,C00417,-1
AR5376,C00007,1
AR5376,C05364,1
AR5376,C06054,1
AR5377,C00011,-2
AR5377,C00197,-1
AR5377,C05655,-1
AR5377,C00007,1
AR5377,C05656,1
AR5377,C06054,1
AR5378,C00011,-2
AR5378,C02214,-2
AR5378,C03453,2
AR5378,C00007,1
AR5379,C00011,-2
AR5379,C02214,-1
AR5379,C02501,-1
AR5379,C00007,1
AR5379,C03453,1
AR5379,C03666,1
AR5380,C00011,-2
AR5380,C01161,-1
AR5380,C02214,-1
AR5380,C00007,1
AR5380,C03453,1
AR5380,C04045,1
AR5381,C00011,-2
AR5381,C02214,-1
AR5381,C03761,-1
AR5381,C00007,1
AR5381,C03453,1
AR5381,C04049,1
AR5382,C00011,-2
AR5382,C00956,-1
AR5382,C02214,-1
AR5382,C00007,1
AR5382,C03453,1
AR5382,C03871,1
AR5383,C00011,-2
AR5383,C00417,-1
AR5383,C02214,-1
AR5383,C00007,1
AR5383,C03453,1
AR5383,C04434,1
AR5384,C00011,-2
AR5384,C00417,-1
AR5384,C02214,-1
AR5384,C00007,1
AR5384,C03453,1
AR5384,C05364,1
AR5385,C00011,-2
AR5385,C02214,-1
AR5385,C05655,-1
AR5385,C00007,1
AR5385,C03453,1
AR5385,C05656,1
AR5386,C00011,-2
AR5386,C02501,-2
AR5386,C03666,2
AR5386,C00007,1
AR5387,C00011,-2
AR5387,C01161,-1
AR5387,C02501,-1
AR5387,C00007,1
AR5387,C03666,1
AR5387,C04045,1
AR5388,C00011,-2
AR5388,C02501,-1
AR5388,C03761,-1
AR5388,C00007,1
AR5388,C03666,1
AR5388,C04049,1
AR5389,C00011,-2
AR5389,C00956,-1
AR5389,C02501,-1
AR5389,C00007,1
AR5389,C03666,1
AR5389,C03871,1
AR5390,C00011,-2
AR5390,C00417,-1
AR5390,C02501,-1
AR5390,C00007,1
AR5390,C03666,1
AR5390,C04434,1
AR5391,C00011,-2
AR5391,C00417,-1
AR5391,C02501,-1
AR5391,C00007,1
AR5391,C03666,1
AR5391,C05364,1
AR5392,C00011,-2
AR5392,C02501,-1
AR5392,C05655,-1
AR5392,C00007,1
AR5392,C03666,1
AR5392,C05656,1
AR5393,C00011,-2
AR5393,C01161,-2
AR5393,C04045,2
AR5393,C00007,1
AR5394,C00011,-2
AR5394,C01161,-1
AR5394,C03761,-1
AR5394,C00007,1
AR5394,C04045,1
AR5394,C04049,1
AR5395,C00011,-2
AR5395,C00956,-1
AR5395,C01161,-1
AR5395,C00007,1
AR5395,C03871,1
AR5395,C04045,1
AR5396,C00011,-2
AR5396,C00417,-1
AR5396,C01161,-1
AR5396,C00007,1
AR5396,C04045,1
AR5396,C04434,1
AR5397,C00011,-2
AR5397,C00417,-1
AR5397,C01161,-1
AR5397,C00007,1
AR5397,C04045,1
AR5397,C05364,1
AR5398,C00011,-2
AR5398,C01161,-1
AR5398,C05655,-1
AR5398,C00007,1
AR5398,C04045,1
AR5398,C05656,1
AR5399,C00011,-2
AR5399,C03761,-2
AR5399,C04049,2
AR5399,C00007,1
AR5400,C00011,-2
AR5400,C00956,-1
AR5400,C03761,-1
AR5400,C00007,1
AR5400,C03871,1
AR5400,C04049,1
AR5401,C00011,-2
AR5401,C00417,-1
AR5401,C03761,-1
AR5401,C00007,1
AR5401,C04049,1
AR5401,C04434,1
AR5402,C00011,-2
AR5402,C00417,-1
AR5402,C03761,-1
AR5402,C00007,1
AR5402,C04049,1
AR5402,C05364,1
AR5403,C00011,-2
AR5403,C03761,-1
AR5403,C05655,-1
AR5403,C00007,1
AR5403,C04049,1
AR5403,C05656,1
AR5404,C00011,-2
AR5404,C00956,-2
AR5404,C03871,2
AR5404,C00007,1
AR5405,C00011,-2
AR5405,C00417,-1
AR5405,C00956,-1
AR5405,C00007,1
AR5405,C03871,1
AR5405,C04434,1
AR5406,C00011,-2
AR5406,C00417,-1
AR5406,C00956,-1
AR5406,C00007,1
AR5406,C03871,1
AR5406,C05364,1
AR5407,C00011,-2
AR5407,C00956,-1
AR5407,C05655,-1
AR5407,C00007,1
AR5407,C03871,1
AR5407,C05656,1
AR5408,C00011,-2
AR5408,C00417,-2
AR5408,C04434,2
AR5408,C00007,1
AR5409,C00011,-2
AR5409,C00417,-2
AR5409,C00007,1
AR5409,C04434,1
AR5409,C05364,1
AR5410,C00011,-2
AR5410,C00417,-1
AR5410,C05655,-1
AR5410,C00007,1
AR5410,C04434,1
AR5410,C05656,1
AR5411,C00011,-2
AR5411,C00417,-2
AR5411,C05364,2
AR5411,C00007,1
AR5412,C00011,-2
AR5412,C00417,-1
AR5412,C05655,-1
AR5412,C00007,1
AR5412,C05364,1
AR5412,C05656,1
AR5413,C00011,-2
AR5413,C05655,-2
AR5413,C05656,2
AR5413,C00007,1
AR5414,C00011,-2
AR5414,C15666,-1
AR5414,C17688,-1
AR5414,C00164,2
AR5414,C00007,1
AR5414,C02132,1
AR5414,C04712,1
AR5415,C00011,-2
AR5415,C06229,-1
AR5415,C15666,-1
AR5415,C00007,1
AR5415,C00158,1
AR5415,C04115,1
AR5415,C04712,1
AR5416,C00011,-2
AR5416,C17688,-2
AR5416,C02132,2
AR5416,C00164,4
AR5416,C00007,1
AR5417,C00011,-2
AR5417,C17688,-1
AR5417,C18319,-1
AR5417,C00164,2
AR5417,C00007,1
AR5417,C00671,1
AR5417,C02132,1
AR5418,C00011,-2
AR5418,C00060,-1
AR5418,C17688,-1
AR5418,C00164,2
AR5418,C00007,1
AR5418,C00161,1
AR5418,C02132,1
AR5419,C00011,-2
AR5419,C00042,-1
AR5419,C17688,-1
AR5419,C00164,2
AR5419,C00007,1
AR5419,C00026,1
AR5419,C02132,1
AR5420,C00011,-2
AR5420,C00180,-1
AR5420,C17688,-1
AR5420,C00164,2
AR5420,C00007,1
AR5420,C02132,1
AR5420,C02137,1
AR5421,C00011,-2
AR5421,C00489,-1
AR5421,C17688,-1
AR5421,C00164,2
AR5421,C00007,1
AR5421,C00322,1
AR5421,C02132,1
AR5422,C00011,-2
AR5422,C00490,-1
AR5422,C17688,-1
AR5422,C00164,2
AR5422,C00007,1
AR5422,C02132,1
AR5422,C06035,1
AR5423,C00011,-2
AR5423,C00383,-1
AR5423,C17688,-1
AR5423,C00164,2
AR5423,C00007,1
AR5423,C00036,1
AR5423,C02132,1
AR5424,C00011,-2
AR5424,C00417,-1
AR5424,C17688,-1
AR5424,C00164,2
AR5424,C00007,1
AR5424,C02132,1
AR5424,C04434,1
AR5425,C00011,-2
AR5425,C00417,-1
AR5425,C17688,-1
AR5425,C00164,2
AR5425,C00007,1
AR5425,C02132,1
AR5425,C05364,1
AR5426,C00011,-2
AR5426,C01161,-1
AR5426,C17688,-1
AR5426,C00164,2
AR5426,C00007,1
AR5426,C02132,1
AR5426,C04045,1
AR5427,C00011,-2
AR5427,C00197,-1
AR5427,C17688,-1
AR5427,C00164,2
AR5427,C00007,1
AR5427,C02132,1
AR5427,C06054,1
AR5428,C00011,-2
AR5428,C00502,-1
AR5428,C17688,-1
AR5428,C00164,2
AR5428,C00007,1
AR5428,C02132,1
AR5428,C03342,1
AR5429,C00011,-2
AR5429,C00033,-1
AR5429,C17688,-1
AR5429,C00164,2
AR5429,C00007,1
AR5429,C00022,1
AR5429,C02132,1
AR5430,C00011,-2
AR5430,C00149,-1
AR5430,C17688,-1
AR5430,C00164,2
AR5430,C00007,1
AR5430,C01127,1
AR5430,C02132,1
AR5431,C00011,-2
AR5431,C00156,-1
AR5431,C17688,-1
AR5431,C00164,2
AR5431,C00007,1
AR5431,C02132,1
AR5431,C03590,1
AR5432,C00011,-2
AR5432,C00158,-1
AR5432,C17688,-1
AR5432,C00164,2
AR5432,C00007,1
AR5432,C02132,1
AR5432,C04115,1
AR5433,C00011,-2
AR5433,C00160,-1
AR5433,C17688,-1
AR5433,C00164,2
AR5433,C00007,1
AR5433,C00168,1
AR5433,C02132,1
AR5434,C00011,-2
AR5434,C00163,-1
AR5434,C17688,-1
AR5434,C00164,2
AR5434,C00007,1
AR5434,C00109,1
AR5434,C02132,1
AR5435,C00011,-2
AR5435,C17688,-1
AR5435,C02132,2
AR5435,C00007,1
AR5435,C00164,1
AR5436,C00011,-2
AR5436,C00209,-1
AR5436,C17688,-1
AR5436,C00164,2
AR5436,C00007,1
AR5436,C00830,1
AR5436,C02132,1
AR5437,C00011,-2
AR5437,C00222,-1
AR5437,C17688,-1
AR5437,C00164,2
AR5437,C00007,1
AR5437,C02132,1
AR5437,C02150,1
AR5438,C00011,-2
AR5438,C00232,-1
AR5438,C17688,-1
AR5438,C00164,2
AR5438,C00007,1
AR5438,C00433,1
AR5438,C02132,1
AR5439,C00011,-2
AR5439,C00246,-1
AR5439,C17688,-1
AR5439,C00164,2
AR5439,C00007,1
AR5439,C02132,1
AR5439,C06255,1
AR5440,C00011,-2
AR5440,C00288,-1
AR5440,C17688,-1
AR5440,C00164,2
AR5440,C00007,1
AR5440,C00209,1
AR5440,C02132,1
AR5441,C00011,-2
AR5441,C00334,-1
AR5441,C17688,-1
AR5441,C00164,2
AR5441,C00007,1
AR5441,C01110,1
AR5441,C02132,1
AR5442,C00011,-2
AR5442,C00431,-1
AR5442,C17688,-1
AR5442,C00164,2
AR5442,C00007,1
AR5442,C02132,1
AR5442,C03239,1
AR5443,C00011,-2
AR5443,C00803,-1
AR5443,C17688,-1
AR5443,C00164,2
AR5443,C00007,1
AR5443,C00902,1
AR5443,C02132,1
AR5444,C00011,-2
AR5444,C00815,-1
AR5444,C17688,-1
AR5444,C00164,2
AR5444,C00007,1
AR5444,C02132,1
AR5444,C06033,1
AR5445,C00011,-2
AR5445,C00642,-1
AR5445,C17688,-1
AR5445,C00164,2
AR5445,C00007,1
AR5445,C01179,1
AR5445,C02132,1
AR5446,C00011,-2
AR5446,C00954,-1
AR5446,C17688,-1
AR5446,C00164,2
AR5446,C00007,1
AR5446,C00331,1
AR5446,C02132,1
AR5447,C00011,-2
AR5447,C00956,-1
AR5447,C17688,-1
AR5447,C00164,2
AR5447,C00007,1
AR5447,C02132,1
AR5447,C03871,1
AR5448,C00011,-2
AR5448,C01010,-1
AR5448,C17688,-1
AR5448,C00164,2
AR5448,C00007,1
AR5448,C00802,1
AR5448,C02132,1
AR5449,C00011,-2
AR5449,C00988,-1
AR5449,C17688,-1
AR5449,C00164,2
AR5449,C00007,1
AR5449,C02132,1
AR5449,C03232,1
AR5450,C00011,-2
AR5450,C01035,-1
AR5450,C17688,-1
AR5450,C00164,2
AR5450,C00007,1
AR5450,C02132,1
AR5450,C03771,1
AR5451,C00011,-2
AR5451,C01089,-1
AR5451,C17688,-1
AR5451,C00164,2
AR5451,C00007,1
AR5451,C02132,1
AR5451,C03589,1
AR5452,C00011,-2
AR5452,C03761,-1
AR5452,C17688,-1
AR5452,C00164,2
AR5452,C00007,1
AR5452,C02132,1
AR5452,C04049,1
AR5453,C00011,-2
AR5453,C01620,-1
AR5453,C17688,-1
AR5453,C00164,2
AR5453,C00007,1
AR5453,C02132,1
AR5453,C02928,1
AR5454,C00011,-2
AR5454,C01656,-1
AR5454,C17688,-1
AR5454,C00164,2
AR5454,C00007,1
AR5454,C02119,1
AR5454,C02132,1
AR5455,C00011,-2
AR5455,C01563,-1
AR5455,C17688,-1
AR5455,C00164,2
AR5455,C00007,1
AR5455,C01444,1
AR5455,C02132,1
AR5456,C00011,-2
AR5456,C01601,-1
AR5456,C17688,-1
AR5456,C00164,2
AR5456,C00007,1
AR5456,C02132,1
AR5456,C13945,1
AR5457,C00011,-2
AR5457,C02287,-1
AR5457,C17688,-1
AR5457,C00164,2
AR5457,C00007,1
AR5457,C02132,1
AR5457,C03459,1
AR5458,C00011,-2
AR5458,C01772,-1
AR5458,C17688,-1
AR5458,C00164,2
AR5458,C00007,1
AR5458,C02132,1
AR5458,C06203,1
AR5459,C00011,-2
AR5459,C03087,-1
AR5459,C17688,-1
AR5459,C00164,2
AR5459,C00007,1
AR5459,C02132,1
AR5459,C05548,1
AR5460,C00011,-2
AR5460,C02086,-1
AR5460,C17688,-1
AR5460,C00164,2
AR5460,C00007,1
AR5460,C00957,1
AR5460,C02132,1
AR5461,C00011,-2
AR5461,C02170,-1
AR5461,C17688,-1
AR5461,C00164,2
AR5461,C00007,1
AR5461,C02132,1
AR5461,C06030,1
AR5462,C00011,-2
AR5462,C02214,-1
AR5462,C17688,-1
AR5462,C00164,2
AR5462,C00007,1
AR5462,C02132,1
AR5462,C03453,1
AR5463,C00011,-2
AR5463,C02222,-1
AR5463,C17688,-1
AR5463,C00164,2
AR5463,C00007,1
AR5463,C02132,1
AR5463,C02167,1
AR5464,C00011,-2
AR5464,C02501,-1
AR5464,C17688,-1
AR5464,C00164,2
AR5464,C00007,1
AR5464,C02132,1
AR5464,C03666,1
AR5465,C00011,-2
AR5465,C02632,-1
AR5465,C17688,-1
AR5465,C00164,2
AR5465,C00007,1
AR5465,C00141,1
AR5465,C02132,1
AR5466,C00011,-2
AR5466,C02928,-1
AR5466,C17688,-1
AR5466,C00164,2
AR5466,C00007,1
AR5466,C02132,1
AR5466,C04575,1
AR5467,C00011,-2
AR5467,C02656,-1
AR5467,C17688,-1
AR5467,C00164,2
AR5467,C00007,1
AR5467,C02132,1
AR5467,C16589,1
AR5468,C00011,-2
AR5468,C03676,-1
AR5468,C17688,-1
AR5468,C00164,2
AR5468,C00007,1
AR5468,C01163,1
AR5468,C02132,1
AR5469,C00011,-2
AR5469,C03678,-1
AR5469,C17688,-1
AR5469,C00164,2
AR5469,C00007,1
AR5469,C02132,1
AR5469,C05941,1
AR5470,C00011,-2
AR5470,C04131,-1
AR5470,C17688,-1
AR5470,C00164,2
AR5470,C00007,1
AR5470,C02132,1
AR5470,C02362,1
AR5471,C00011,-2
AR5471,C04431,-1
AR5471,C17688,-1
AR5471,C00164,2
AR5471,C00007,1
AR5471,C02132,1
AR5471,C20366,1
AR5472,C00011,-2
AR5472,C05629,-1
AR5472,C17688,-1
AR5472,C00164,2
AR5472,C00007,1
AR5472,C02132,1
AR5472,C20327,1
AR5473,C00011,-2
AR5473,C05635,-1
AR5473,C17688,-1
AR5473,C00164,2
AR5473,C00007,1
AR5473,C02132,1
AR5473,C05646,1
AR5474,C00011,-2
AR5474,C05655,-1
AR5474,C17688,-1
AR5474,C00164,2
AR5474,C00007,1
AR5474,C02132,1
AR5474,C05656,1
AR5475,C00011,-2
AR5475,C05682,-1
AR5475,C17688,-1
AR5475,C00164,2
AR5475,C00007,1
AR5475,C02132,1
AR5475,C02798,1
AR5476,C00011,-2
AR5476,C06104,-1
AR5476,C17688,-1
AR5476,C00164,2
AR5476,C00007,1
AR5476,C02132,1
AR5476,C16588,1
AR5477,C00011,-2
AR5477,C06229,-1
AR5477,C17688,-1
AR5477,C00164,2
AR5477,C00007,1
AR5477,C00158,1
AR5477,C02132,1
AR5477,C04115,1
AR5478,C00011,-2
AR5478,C07086,-1
AR5478,C17688,-1
AR5478,C00164,2
AR5478,C00007,1
AR5478,C00166,1
AR5478,C02132,1
AR5479,C00011,-2
AR5479,C08262,-1
AR5479,C17688,-1
AR5479,C00164,2
AR5479,C00007,1
AR5479,C00233,1
AR5479,C02132,1
AR5480,C00011,-2
AR5480,C08276,-1
AR5480,C17688,-1
AR5480,C00164,2
AR5480,C00007,1
AR5480,C01180,1
AR5480,C02132,1
AR5481,C00011,-2
AR5481,C12986,-1
AR5481,C17688,-1
AR5481,C00164,2
AR5481,C00007,1
AR5481,C02132,1
AR5481,C05539,1
AR5482,C00011,-2
AR5482,C14179,-1
AR5482,C17688,-1
AR5482,C00164,2
AR5482,C00007,1
AR5482,C02132,1
AR5482,C05528,1
AR5483,C00011,-2
AR5483,C06229,-1
AR5483,C18319,-1
AR5483,C00007,1
AR5483,C00158,1
AR5483,C00671,1
AR5483,C04115,1
AR5484,C00011,-2
AR5484,C00060,-1
AR5484,C00007,1
AR5484,C00022,1
AR5484,C00161,1
AR5485,C00011,-2
AR5485,C01656,-1
AR5485,C00007,1
AR5485,C00022,1
AR5485,C02119,1
AR5486,C00011,-2
AR5486,C00060,-1
AR5486,C00007,1
AR5486,C00026,1
AR5486,C00161,1
AR5487,C00011,-2
AR5487,C01656,-1
AR5487,C00007,1
AR5487,C00026,1
AR5487,C02119,1
AR5488,C00001,-1
AR5488,C00007,-1
AR5488,C15700,-1
AR5488,C00027,1
AR5488,C15767,1
AR5489,C00001,-1
AR5489,C00007,-1
AR5489,C16309,-1
AR5489,C00027,1
AR5489,C16308,1
AR5490,C00001,-1
AR5490,C00007,-1
AR5490,C16322,-1
AR5490,C00027,1
AR5490,C08261,1
AR5491,C00001,-1
AR5491,C00007,-1
AR5491,C16343,-1
AR5491,C00027,1
AR5491,C16344,1
AR5492,C00001,-1
AR5492,C00007,-1
AR5492,C16556,-1
AR5492,C00027,1
AR5492,C16557,1
AR5493,C00001,-1
AR5493,C00007,-1
AR5493,C16587,-1
AR5493,C00027,1
AR5493,C16591,1
AR5494,C00001,-1
AR5494,C00007,-1
AR5494,C16590,-1
AR5494,C00027,1
AR5494,C02656,1
AR5495,C00001,-1
AR5495,C00007,-1
AR5495,C16612,-1
AR5495,C00027,1
AR5495,C16610,1
AR5496,C00001,-1
AR5496,C00007,-1
AR5496,C16700,-1
AR5496,C00027,1
AR5496,C00230,1
AR5497,C00001,-1
AR5497,C00007,-1
AR5497,C16706,-1
AR5497,C00027,1
AR5497,C01744,1
AR5498,C00001,-1
AR5498,C00007,-1
AR5498,C16835,-1
AR5498,C00027,1
AR5498,C00232,1
AR5499,C00001,-1
AR5499,C00007,-1
AR5499,C16849,-1
AR5499,C00027,1
AR5499,C03232,1
AR5500,C00001,-1
AR5500,C00007,-1
AR5500,C16947,-1
AR5500,C00027,1
AR5500,C02367,1
AR5501,C00001,-1
AR5501,C00007,-1
AR5501,C17206,-1
AR5501,C00027,1
AR5501,C03030,1
AR5502,C00001,-1
AR5502,C00007,-1
AR5502,C20950,-1
AR5502,C00027,1
AR5502,C20948,1
AR5503,C00001,-1
AR5503,C00007,-1
AR5503,C17943,-1
AR5503,C00027,1
AR5503,C06456,1
AR5504,C00001,-1
AR5504,C00007,-1
AR5504,C18170,-1
AR5504,C00027,1
AR5504,C01073,1
AR5505,C00001,-1
AR5505,C00007,-1
AR5505,C18220,-1
AR5505,C00027,1
AR5505,C12077,1
AR5506,C00001,-1
AR5506,C00007,-1
AR5506,C18222,-1
AR5506,C00027,1
AR5506,C09118,1
AR5507,C00001,-1
AR5507,C00007,-1
AR5507,C18586,-1
AR5507,C00027,1
AR5507,C00058,1
AR5507,C00288,1
AR5508,C00001,-1
AR5508,C00007,-1
AR5508,C19377,-1
AR5508,C00027,1
AR5508,C01771,1
AR5509,C00001,-1
AR5509,C00007,-1
AR5509,C19440,-1
AR5509,C00027,1
AR5509,C00222,1
AR5510,C00001,-1
AR5510,C00007,-1
AR5510,C19567,-1
AR5510,C00027,1
AR5510,C19569,1
AR5511,C00001,-1
AR5511,C00007,-1
AR5511,C19614,-1
AR5511,C00027,1
AR5511,C19615,1
AR5512,C00001,-1
AR5512,C00007,-1
AR5512,C19617,-1
AR5512,C00027,1
AR5512,C19618,1
AR5513,C00001,-1
AR5513,C00007,-1
AR5513,C19624,-1
AR5513,C00027,1
AR5513,C19625,1
AR5514,C00001,-1
AR5514,C00007,-1
AR5514,C19677,-1
AR5514,C00027,1
AR5514,C19678,1
AR5515,C00001,-1
AR5515,C00007,-1
AR5515,C19679,-1
AR5515,C00027,1
AR5515,C03342,1
AR5516,C00001,-1
AR5516,C00007,-1
AR5516,C19683,-1
AR5516,C00027,1
AR5516,C19682,1
AR5517,C00001,-1
AR5517,C00007,-1
AR5517,C19839,-1
AR5517,C00027,1
AR5517,C16146,1
AR5518,C00001,-1
AR5518,C00007,-1
AR5518,C19888,-1
AR5518,C00027,1
AR5518,C19886,1
AR5519,C00001,-1
AR5519,C00007,-1
AR5519,C19892,-1
AR5519,C00027,1
AR5519,C08607,1
AR5520,C00001,-1
AR5520,C00007,-1
AR5520,C19939,-1
AR5520,C00027,1
AR5520,C20404,1
AR5521,C00001,-1
AR5521,C00007,-1
AR5521,C19946,-1
AR5521,C00027,1
AR5521,C19945,1
AR5522,C00001,-1
AR5522,C00007,-1
AR5522,C20308,-1
AR5522,C00027,1
AR5522,C20309,1
AR5523,C00001,-1
AR5523,C00007,-1
AR5523,C20449,-1
AR5523,C00027,1
AR5523,C20450,1
AR5524,C00001,-1
AR5524,C00007,-1
AR5524,C20511,-1
AR5524,C00027,1
AR5524,C02283,1
AR5525,C00001,-1
AR5525,C00007,-1
AR5525,C20798,-1
AR5525,C00027,1
AR5525,C11499,1
AR5526,C00001,-1
AR5526,C00007,-1
AR5526,C20899,-1
AR5526,C00027,1
AR5526,C20449,1
AR5527,C00001,-1
AR5527,C00007,-1
AR5527,C20900,-1
AR5527,C00027,1
AR5527,C20901,1
AR5528,C00001,-1
AR5528,C00007,-1
AR5528,C20946,-1
AR5528,C00027,1
AR5528,C17148,1
AR5529,C00001,-1
AR5529,C00007,-1
AR5529,C00903,-1
AR5529,C00027,1
AR5529,C00423,1
AR5530,C00001,-1
AR5530,C00007,-1
AR5530,C00969,-1
AR5530,C00027,1
AR5530,C01013,1
AR5531,C00001,-1
AR5531,C00007,-1
AR5531,C00633,-1
AR5531,C00027,1
AR5531,C00156,1
AR5532,C00001,-1
AR5532,C00007,-1
AR5532,C00637,-1
AR5532,C00027,1
AR5532,C00954,1
AR5533,C00001,-1
AR5533,C00007,-1
AR5533,C00682,-1
AR5533,C00027,1
AR5533,C02501,1
AR5534,C00001,-1
AR5534,C00007,-1
AR5534,C00048,-1
AR5534,C00027,1
AR5534,C00209,1
AR5535,C00001,-1
AR5535,C00007,-1
AR5535,C00058,-1
AR5535,C00027,1
AR5535,C00288,1
AR5536,C00001,-1
AR5536,C00007,-1
AR5536,C00071,-1
AR5536,C00027,1
AR5536,C00060,1
AR5537,C00001,-1
AR5537,C00007,-1
AR5537,C00084,-1
AR5537,C00027,1
AR5537,C00033,1
AR5538,C00001,-1
AR5538,C00007,-1
AR5538,C00118,-1
AR5538,C00027,1
AR5538,C00197,1
AR5539,C00001,-1
AR5539,C00007,-1
AR5539,C00193,-1
AR5539,C00027,1
AR5539,C00180,1
AR5540,C00001,-1
AR5540,C00007,-1
AR5540,C00222,-1
AR5540,C00027,1
AR5540,C00383,1
AR5541,C00001,-1
AR5541,C00007,-1
AR5541,C00232,-1
AR5541,C00027,1
AR5541,C00042,1
AR5542,C00001,-1
AR5542,C00007,-1
AR5542,C00250,-1
AR5542,C00027,1
AR5542,C00847,1
AR5543,C00001,-1
AR5543,C00007,-1
AR5543,C00266,-1
AR5543,C00027,1
AR5543,C00160,1
AR5544,C00001,-1
AR5544,C00007,-1
AR5544,C00279,-1
AR5544,C00027,1
AR5544,C03393,1
AR5545,C00001,-1
AR5545,C00007,-1
AR5545,C00349,-1
AR5545,C00027,1
AR5545,C02170,1
AR5546,C00001,-1
AR5546,C00007,-1
AR5546,C00376,-1
AR5546,C00027,1
AR5546,C00777,1
AR5547,C00001,-1
AR5547,C00007,-1
AR5547,C00424,-1
AR5547,C00027,1
AR5547,C00186,1
AR5548,C00001,-1
AR5548,C00007,-1
AR5548,C00433,-1
AR5548,C00026,1
AR5548,C00027,1
AR5549,C00001,-1
AR5549,C00007,-1
AR5549,C00441,-1
AR5549,C00027,1
AR5549,C00049,1
AR5550,C00001,-1
AR5550,C00007,-1
AR5550,C00479,-1
AR5550,C00027,1
AR5550,C00163,1
AR5551,C00001,-1
AR5551,C00007,-1
AR5551,C00488,-1
AR5551,C00027,1
AR5551,C01563,1
AR5552,C00001,-1
AR5552,C00007,-1
AR5552,C00517,-1
AR5552,C00027,1
AR5552,C00249,1
AR5553,C00001,-1
AR5553,C00007,-1
AR5553,C00538,-1
AR5553,C00027,1
AR5553,C00161,1
AR5554,C00001,-1
AR5554,C00007,-1
AR5554,C00546,-1
AR5554,C00022,1
AR5554,C00027,1
AR5555,C00001,-1
AR5555,C00007,-1
AR5555,C00555,-1
AR5555,C00027,1
AR5555,C00334,1
AR5556,C00001,-1
AR5556,C00007,-1
AR5556,C00576,-1
AR5556,C00027,1
AR5556,C00719,1
AR5557,C00001,-1
AR5557,C00007,-1
AR5557,C00577,-1
AR5557,C00027,1
AR5557,C00258,1
AR5558,C00001,-1
AR5558,C00007,-1
AR5558,C00593,-1
AR5558,C00027,1
AR5558,C14179,1
AR5559,C00001,-1
AR5559,C00007,-1
AR5559,C00601,-1
AR5559,C00027,1
AR5559,C07086,1
AR5560,C00001,-1
AR5560,C00007,-1
AR5560,C00609,-1
AR5560,C00027,1
AR5560,C00347,1
AR5561,C00001,-1
AR5561,C00007,-1
AR5561,C11873,-1
AR5561,C00027,1
AR5561,C11874,1
AR5562,C00001,-1
AR5562,C00007,-1
AR5562,C11885,-1
AR5562,C00027,1
AR5562,C11889,1
AR5563,C00001,-1
AR5563,C00007,-1
AR5563,C11886,-1
AR5563,C00027,1
AR5563,C11888,1
AR5564,C00001,-1
AR5564,C00007,-1
AR5564,C11887,-1
AR5564,C00027,1
AR5564,C06087,1
AR5565,C00001,-1
AR5565,C00007,-1
AR5565,C00755,-1
AR5565,C00027,1
AR5565,C06672,1
AR5566,C00001,-1
AR5566,C00007,-1
AR5566,C02405,-1
AR5566,C00027,1
AR5566,C20969,1
AR5567,C00001,-1
AR5567,C00007,-1
AR5567,C01053,-1
AR5567,C00027,1
AR5567,C01088,1
AR5568,C00001,-1
AR5568,C00007,-1
AR5568,C01146,-1
AR5568,C00027,1
AR5568,C02287,1
AR5569,C00001,-1
AR5569,C00007,-1
AR5569,C01149,-1
AR5569,C00027,1
AR5569,C01181,1
AR5570,C00001,-1
AR5570,C00007,-1
AR5570,C01165,-1
AR5570,C00025,1
AR5570,C00027,1
AR5571,C00001,-1
AR5571,C00007,-1
AR5571,C01250,-1
AR5571,C00027,1
