rn,delta_G,delta_G_error
AR374,5.22,0.167072
AR375,0.75,0.158863
AR376,5.22,0.112299
AR377,0.94,0.11638499999999999
AR378,2.21,0.0375933
AR379,2.3,0.184114
AR380,-2.0,0.322494
AR381,3.67,0.0223371
AR382,2.3,0.07788919999999999
AR383,6.22,0.080541
AR385,2.21,0.0951418
AR386,2.21,0.08684889999999999
AR388,3.67,0.0603428
AR389,5.22,0.182206
AR390,2.3,0.0839846
AR391,2.3,0.172596
AR392,0.75,0.0793289
AR393,2.3,0.0813367
AR394,8.68,0.07778380000000001
AR395,6.22,0.151003
AR396,3.76,0.21109699999999998
AR397,3.76,0.21109699999999998
AR398,5.22,0.16408
AR399,3.76,0.09534889999999999
AR400,3.67,0.0594795
AR401,-2.0,0.34553
AR402,5.22,0.0936995
AR403,6.22,0.113728
AR404,3.76,0.183221
AR405,6.22,0.10983299999999999
AR407,0.75,0.091727
AR409,2.3,0.08741489999999999
AR410,0.74,0.040667699999999994
AR411,2.3,0.08741489999999999
AR412,6.22,0.155617
AR413,2.3,0.062376999999999995
AR414,3.67,0.0757275
AR416,2.3,0.0771882
AR418,5.22,0.167043
AR419,0.46,0.326006
AR420,3.76,0.242982
AR421,5.22,0.168776
AR422,3.76,0.242982
AR423,5.22,0.148721
AR424,0.75,0.09629580000000001
AR425,6.22,0.0790974
AR426,3.76,0.196113
AR427,2.3,0.0961027
AR428,2.3,0.0961027
AR429,6.22,0.07355249999999999
AR431,2.3,0.0858996
AR433,6.22,0.0714442
AR434,2.3,0.14744000000000002
AR435,3.67,0.0314528
AR437,-2.0,0.331635
AR438,2.3,0.00144829
AR439,4.76,0.0255911
AR440,2.3,0.09857510000000001
AR441,-2.0,0.179073
AR442,2.3,0.155389
AR443,2.3,0.155389
AR444,3.76,0.09745670000000001
AR445,4.67,0.0603622
AR446,-2.0,0.353404
AR447,3.67,0.0726831
AR448,2.3,0.292901
AR449,2.3,0.0732905
AR450,3.76,0.0176431
AR451,6.22,0.07718760000000001
AR452,3.76,0.109867
AR454,2.3,0.0873429
AR455,2.3,0.0871465
AR456,3.76,0.101101
AR457,2.3,0.07553789999999999
AR459,0.75,0.139745
AR462,6.22,0.0918257
AR463,2.3,0.136193
AR464,3.76,0.0945309
AR465,3.76,0.09128939999999999
AR466,6.22,0.094314
AR467,3.76,0.0894818
AR468,2.3,0.0964275
AR469,5.22,0.129271
AR470,5.22,0.114552
AR471,6.22,0.072786
AR472,-2.0,0.264178
AR473,5.22,0.115434
