,rn,iteration
539,"('R05804', 'forward')",1
540,"('R00748', 'forward')",1
541,"('R00015', 'forward')",1
542,"('R01562', 'reverse')",1
543,"('R05816', 'forward')",1
544,"('R01541', 'reverse')",1
545,"('R01100', 'forward')",1
546,"('R00965', 'reverse')",1
547,"('R03127', 'reverse')",1
548,"('R01026', 'forward')",1
549,"('R00254', 'forward')",1
550,"('R02102', 'forward')",1
551,"('R02948', 'forward')",1
552,"('R07306', 'forward')",1
553,"('R01877', 'reverse')",1
554,"('R02329', 'reverse')",1
555,"('R01476', 'reverse')",1
556,"('R07307', 'forward')",1
557,"('R01117', 'forward')",1
558,"('R05790', 'forward')",1
559,"('R01511', 'reverse')",1
560,"('R00967', 'reverse')",1
561,"('R00256', 'forward')",1
562,"('R02088', 'reverse')",1
563,"('R01395', 'forward')",1
564,"('R01983', 'reverse')",1
565,"('R02778', 'forward')",1
566,"('R09483', 'forward')",1
567,"('R10092', 'forward')",1
568,"('R00075', 'forward')",1
569,"('R00970', 'forward')",1
570,"('R03801', 'reverse')",1
571,"('R03077', 'forward')",1
572,"('R06979', 'forward')",1
573,"('R06973', 'forward')",1
574,"('R01482', 'reverse')",1
575,"('R03546', 'forward')",1
576,"('R00485', 'forward')",1
577,"('R02244', 'forward')",1
578,"('R09107', 'forward')",1
579,"('R01557', 'forward')",1
580,"('R01678', 'reverse')",1
581,"('R04053', 'forward')",1
582,"('R08967', 'reverse')",1
583,"('R01324', 'reverse')",1
584,"('R01021', 'reverse')",1
585,"('R09769', 'reverse')",1
586,"('R02278', 'reverse')",1
587,"('R02243', 'reverse')",1
588,"('R03351', 'reverse')",1
589,"('R00670', 'forward')",1
590,"('R00805', 'forward')",1
591,"('R00964', 'reverse')",1
592,"('R03852', 'reverse')",1
593,"('R00954', 'forward')",1
594,"('R04143', 'reverse')",1
595,"('R07300', 'reverse')",1
596,"('R01514', 'reverse')",1
597,"('R01969', 'forward')",1
598,"('R03321', 'forward')",1
599,"('R09770', 'reverse')",1
600,"('R01786', 'forward')",1
601,"('R05135', 'reverse')",1
602,"('R01408', 'forward')",1
603,"('R00470', 'reverse')",1
604,"('R07650', 'forward')",1
605,"('R00341', 'forward')",1
606,"('R00657', 'reverse')",1
607,"('R02060', 'reverse')",1
608,"('R10079', 'forward')",1
609,"('R01050', 'forward')",1
610,"('R04424', 'reverse')",1
611,"('R00438', 'reverse')",1
612,"('R00320', 'forward')",1
613,"('R00762', 'forward')",1
614,"('R01064', 'forward')",1
615,"('R09945', 'forward')",1
616,"('R01068', 'forward')",1
617,"('R03387', 'reverse')",1
618,"('R09085', 'forward')",1
619,"('R00350', 'forward')",1
620,"('R02604', 'forward')",1
621,"('R02142', 'forward')",1
622,"('R00513', 'reverse')",1
623,"('R01676', 'reverse')",1
624,"('R00141', 'forward')",1
625,"('R02890', 'reverse')",1
626,"('R04320', 'reverse')",1
627,"('R00200', 'forward')",1
628,"('R00378', 'forward')",1
629,"('R00517', 'reverse')",1
630,"('R01635', 'reverse')",1
631,"('R04531', 'forward')",1
632,"('R00293', 'forward')",1
633,"('R01015', 'reverse')",1
634,"('R00306', 'reverse')",1
635,"('R02636', 'forward')",1
