,!MiriamID::urn:miriam:kegg.reaction,!dG0_prime (kJ/mol)
123,R00153,161.35134953463327
124,R00155,-26.19223289686795
125,R00156,0.20524471245244058
126,R00157,-0.399779475038315
127,R00158,-1.172965851036281
128,R00159,-27.57044346035685
129,R00160,-25.543818878037996
130,R00161,-11.974706584918067
131,R00162,8.459566915349797
132,R00164,-44.906429665708906
133,R00173,-12.907205114755023
134,R00174,-14.45799363314893
135,R00175,51.31705728193134
136,R00177,88.1268045032751
137,R00178,-22.936718788974588
138,R00179,-54.19186249632571
139,R00180,56.97719292728391
140,R00181,-32.22489451466919
141,R00182,-17.88639813734187
142,R00183,-14.794464588337696
143,R00184,-38.602497717560254
144,R00185,-12.5707341595662
145,R00187,-44.471420460065474
146,R00188,-8.047853107456895
147,R00189,-18.237790796388254
148,R00190,19.321985193140222
149,R00191,-40.86850002962706
150,R00192,34.7395528569042
151,R00193,-22.832933621630445
152,R00194,-16.349083157033647
153,R00195,1.6321190385599067
154,R00196,-81.67201488634207
155,R00197,-81.65498865422855
156,R00198,-81.65498865422855
157,R00199,0.41265937298788913
158,R00200,27.583323358306416
159,R00203,-30.914561374482673
160,R00205,-31.045116408483864
161,R00206,17.42999664325528
162,R00207,-157.56894123234036
163,R00208,-54.94852210621058
164,R00209,-34.02434772279025
165,R00210,-34.15490275679167
166,R00211,-166.44792279262657
167,R00212,19.81002119165261
168,R00213,-385.1218117433319
169,R00214,12.307858917747126
170,R00215,20.21109595299299
171,R00216,12.17730388374639
172,R00217,-17.25035224767778
173,R00218,118.43899377141182
174,R00219,23.001655721757558
175,R00220,-30.210485019021405
176,R00221,-28.7974903334744
177,R00223,-30.210485019021405
178,R00224,-16.4014730100552
179,R00226,29.8707204953553
180,R00227,-32.11585483370369
181,R00228,-17.622874712735438
182,R00229,4.750656085799214
183,R00230,8.878981560285837
184,R00233,-15.358487034407347
185,R00235,-5.402670629252043
186,R00236,-1183.0578742067064
187,R00237,7.059838100394487
188,R00238,24.96121615861489
189,R00239,28.53671708738017
190,R00243,36.48157454370312
191,R00245,-45.00177574988993
192,R00248,36.35101950970238
193,R00250,-95.94200052613246
194,R00251,-4.459593618329222
195,R00253,-13.11669158796309
196,R00254,55.21909166533739
197,R00256,-14.248507159941312
198,R00257,-32.48629795632945
199,R00258,0.17899550387005547
200,R00259,-22.970816091646896
201,R00260,0.5605063746176597
202,R00261,-23.63751256303493
203,R00262,-6.9883666004500355
204,R00263,-325.1121772182872
205,R00264,-37.31088120034178
206,R00265,-28.1312310715698
207,R00267,5.475979454693743
208,R00268,-13.153048693893467
209,R00269,-3.2097197712285777
210,R00270,42.22626821501542
211,R00271,-27.848142367026185
212,R00272,-17.072882267144138
213,R00273,-163.26680355528305
214,R00274,-308.7640666928992
215,R00275,83.26788519096836
216,R00277,-96.748905822463
217,R00278,-112.81231949041774
218,R00279,-96.50250690075012
219,R00280,-81.4886246295972
220,R00282,-34.987779421462164
221,R00283,-48.49765544982567
222,R00284,-121.3913809505439
223,R00286,-19.251589803373918
224,R00287,-35.105616745084205
225,R00289,-1.639722341872698
226,R00291,2.918375668718454
227,R00292,244.13598050619993
228,R00293,-63.874685278462195
229,R00294,81.4886246295972
230,R00295,-129.2138505526536
231,R00297,-81.65498865422855
232,R00298,-81.5098216597707
233,R00299,-17.90103501265247
234,R00300,-4.3906651809697905
235,R00301,-11.055382722972126
236,R00302,-131.8617050964061
237,R00303,-9.464163735251653
238,R00304,-16.835507362681376
239,R00305,-81.48850017475974
240,R00306,-12.795296330839847
241,R00307,-0.11830346741476205
242,R00308,-269.8848717170977
243,R00310,3.2393199581008503
244,R00311,241.1033582148092
245,R00312,-1300.571530722432
246,R00313,-1300.571530722432
247,R00314,-1300.571530722432
248,R00315,13.629637646085229
249,R00316,1177.655203577455
250,R00317,-40.994836393989566
251,R00318,-86.1329759960723
252,R00319,-496.1248725220937
253,R00320,23.977499123722254
254,R00321,-25.021916910722098
255,R00322,-1215.1737290404103
256,R00324,-48.39064932443624
257,R00325,2.351171306036548
258,R00326,-123.05433475831849
259,R00327,-29.86937933970792
260,R00328,-27.00066167529593
261,R00329,-44.906429665708906
262,R00330,-2.8030570430317994
263,R00331,8.459566915349797
264,R00332,-0.3645370726088686
265,R00333,36.662870750180446
266,R00334,8.459566915349797
267,R00335,-24.56214170487312
