,!MiriamID::urn:miriam:kegg.reaction,!dG0_prime (kJ/mol)
154,R00237,7.059838100394472
155,R00238,24.96121615861489
156,R00239,28.53671708738017
157,R00241,25.62679422948719
158,R00243,36.48157454370326
159,R00245,-45.00177574988987
160,R00248,36.35101950970207
161,R00250,-95.94200052613246
162,R00251,-4.459593618329222
163,R00253,-13.116691587962634
164,R00254,55.21909166533743
165,R00256,-14.248507159941312
166,R00257,-32.48629795632934
167,R00258,0.17899550387005547
168,R00259,-22.970816091646896
169,R00260,0.5605063746176597
170,R00261,-23.63751256303493
171,R00262,-6.9883666004500355
172,R00264,-37.31088120034141
173,R00265,-28.131231071569346
174,R00267,5.4759794546936575
175,R00268,-13.15304869389341
176,R00269,-3.2097197712285777
177,R00270,42.226268215015466
178,R00271,-27.848142367026128
179,R00272,-17.072882267144138
180,R00273,-163.26680355528305
181,R00274,-308.7640666928992
182,R00275,83.26788519096836
183,R00276,178.35191242387242
184,R00277,-96.748905822463
185,R00278,-112.81231949041776
186,R00279,-96.50250690075012
187,R00286,-19.251589803373918
188,R00287,-35.105616745084205
189,R00289,-1.639722341872698
190,R00291,2.918375668718454
191,R00293,-63.87468527846204
192,R00299,-17.90103501265247
193,R00300,-4.390665180970018
194,R00301,-11.055382722971899
195,R00302,-131.86170509640607
196,R00303,-9.464163735251645
197,R00304,-16.83550736268137
198,R00306,-12.795296330839847
199,R00307,-0.11830346741476205
200,R00310,3.2393199581008503
201,R00315,13.629637646085229
202,R00316,1177.655203577455
203,R00317,-40.99483639398956
204,R00318,-86.13297599607229
205,R00319,-496.1248725220937
206,R00320,23.977499123722254
207,R00321,-25.021916910722112
208,R00322,-1215.1737290404103
209,R00324,-48.39064932443627
210,R00325,2.351171306036548
211,R00327,-29.86937933970792
212,R00328,-27.000661675295987
213,R00330,-2.8030570430317994
214,R00332,-0.3645370726088686
215,R00335,-24.562141704872943
216,R00336,-26.677870749222905
217,R00337,-22.107709182070153
218,R00338,-52.54732631872473
219,R00339,-33.911505090655496
220,R00340,-33.911505090655496
221,R00341,10.332971110628932
222,R00342,29.558211165424865
223,R00343,29.42765613142413
224,R00344,-4.92761149941785
225,R00345,37.69816985853278
226,R00346,20.680832588265446
227,R00347,-25.504843231860264
228,R00348,-8.125701181983146
229,R00350,17.248686236416134
230,R00351,35.917153193250925
231,R00352,8.55195444534641
232,R00353,1.8918652132704494
233,R00354,15.035124250700193
234,R00355,2.84457439331797
235,R00357,-93.09742613281449
236,R00359,-98.28208170696601
237,R00360,-102.86536390441054
238,R00362,3.801298359547289
239,R00363,5.751303474079776
240,R00365,45.01502113453758
241,R00366,-87.40855393529795
242,R00367,11.255815176349302
243,R00368,35.19799411411003
244,R00369,-8.354451086964445
245,R00371,34.60442534554306
246,R00372,8.533446590834515
247,R00373,5.6888721975165595
248,R00396,36.660570047573415
249,R00397,-14.584773358229825
250,R00398,34.127794546967834
251,R00399,33.66608740397612
252,R00400,-2.6655788894481134
253,R00401,-0.040976487502916825
254,R00402,61.21694462493679
255,R00405,-1.7513499411736575
256,R00406,-5.964746905089896
257,R00407,-25.613848806730857
258,R00408,39.8065916471478
259,R00409,5.9269387791613894
260,R00410,12.602965679932595
261,R00411,-2.216409812455595
262,R00414,-20.826470332580925
263,R00416,-11.228119589969083
264,R00418,1.52740244555946
265,R00420,1.5322630892703728
266,R00421,-20.339831093416024
267,R00424,-74.51086233548097
268,R00425,-75.26831529027243
269,R00426,-34.54546610990144
270,R00428,10.394201941493066
271,R00429,-8.693761358199993
272,R00430,30.386380401337647
273,R00431,13.136028153660163
274,R00432,1.051707101857346
275,R00434,-1.2972582707509446
276,R00445,-18.702878589793045
277,R00446,36.8771111072744
278,R00447,-104.26302208339746
279,R00448,-232.85438878007267
280,R00449,-465.7227468803794
281,R00451,-18.38608766512357
282,R00452,39.43087839015243
283,R00453,0.2165410597010009
284,R00454,-25.768678417933756
285,R00457,0.3955365635711132
286,R00458,-6.347176415769752
287,R00460,5.095614596939413e-09
288,R00461,-4.625714034086343
289,R00462,-25.022397698427604
290,R00463,19.156950352905085
291,R00465,44.0374564457813
292,R00466,-159.10816913263287
293,R00468,-14.252751544060857
294,R00469,-24.067940240415496
295,R00470,17.885685519103987
296,R00471,16.91705903355077
297,R00472,35.81133374320093
298,R00473,16.1622318415602
299,R00474,29.660988228849376
